description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Make Scroll for Recipe 24	1			0					2	24b	ddd						24a																																																																																							0
Make Scroll for Recipe 25	1			0					2	25b	ddd						25a																																																																																							0
Make Scroll for Recipe 26	1			0					2	26b	ddd						26a																																																																																							0
Make Scroll for Recipe 27	1			0					2	27b	ddd						27a																																																																																							0
Make Scroll for Recipe 28	1			0					2	28b	ddd						28a																																																																																							0
Make Scroll for Recipe 29	1			0					2	29b	ddd						29a																																																																																							0
Make Scroll for Recipe 30	1			0					2	30b	ddd						30a																																																																																							0
Make Scroll for Recipe 31	1			0					2	31b	ddd						31a																																																																																							0
Make Scroll for Recipe 32	1			0					2	32b	ddd						32a																																																																																							0
Make Scroll for Recipe 33	1			0					2	33b	ddd						33a																																																																																							0
Make Scroll for Recipe 34	1			0					2	34b	ddd						34a																																																																																							0
Make Scroll for Recipe 35	1			0					2	35b	ddd						35a																																																																																							0
Make Scroll for Recipe 36	1			0					2	36b	ddd						36a																																																																																							0
Make Scroll for Recipe 37	1			0					2	37b	ddd						37a																																																																																							0
Make Scroll for Recipe 38	1			0					2	38b	ddd						38a																																																																																							0
Make Scroll for Recipe 39	1			0					2	39b	ddd						39a																																																																																							0
Make Scroll for Recipe 40	1			0					2	40b	ddd						40a																																																																																							0
Make Scroll for Recipe 41	1			0					2	41b	ddd						41a																																																																																							0
Make Scroll for Recipe 42	1			0					2	42b	ddd						42a																																																																																							0
Make Scroll for Recipe 43	1			0					2	43b	ddd						43a																																																																																							0
Make Scroll for Recipe 44	1			0					2	44b	ddd						44a																																																																																							0
Make Scroll for Recipe 45	1			0					2	45b	ddd						45a																																																																																							0
Make Scroll for Recipe 46	1			0					2	46b	ddd						46a																																																																																							0
Make Scroll for Recipe 47	1			0					2	47b	ddd						47a																																																																																							0
Make Scroll for Recipe 48	1			0					2	48b	ddd						48a																																																																																							0
Make Scroll for Recipe 49	1			0					2	49b	ddd						49a																																																																																							0
Make Scroll for Recipe 50	1			0					2	50b	ddd						50a																																																																																							0
Make Scroll for Recipe 51	1			0					2	51b	ddd						51a																																																																																							0
Make Scroll for Recipe 52	1			0					2	52b	ddd						52a																																																																																							0
Make Scroll for Recipe 53	1			0					2	53b	ddd						53a																																																																																							0
Replenish Missiles	1			0					1	"misl,any"							"useitem,rep,qty=255"																																																																																							0
Replenish Missiles	1			0					1	"jave,any"							"useitem,rep,qty=255"																																																																																							0
Replenish Missiles	1			0					1	"taxe,any"							"useitem,rep,qty=255"																																																																																							0
Replenish Missiles	1			0					1	"tkni,any"							"useitem,rep,qty=255"																																																																																							0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"sbw,set"	isc						"sbs,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"lea,set"	isc						"les,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"skp,set"	isc						"rsk,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"sbs,set"	isc						"xbs,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"les,set"	isc						"xes,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"rsk,set"	isc						"xkr,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xbs,set"	isc						"ybs,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xes,set"	isc						"yes,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xkr,set"	isc						"ykr,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"spt,set"	isc						"pim,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"stu,set"	isc						"stm,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"cap,set"	isc						"cam,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"pim,set"	isc						"xim,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"stm,set"	isc						"xtm,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"cam,set"	isc						"xam,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xim,set"	isc						"yim,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xtm,set"	isc						"ytm,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xam,set"	isc						"yam,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"bsd,set"	isc						"lsw,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"rob,set"	isc						"row,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			0					2	"hlm,set"	isc						"hlw,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"lsw,set"	isc						"xsw,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"row,set"	isc						"rox,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"hlw,set"	isc						"xlw,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			0					2	"xsw,set"	isc						"ysw,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"rox,set"	isc						"roy,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			0					2	"xlw,set"	isc						"ylw,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			100					2	"bsw,set"	isc						"bsb,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			100					2	"gth,set"	isc						"gtq,set"	100																																																																																						0
Upgrade Dropped Merc -> Normal Merc Set	1			100					2	"ghm,set"	isc						"ghw,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			100					2	"bsb,set"	isc						"xsb,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			100					2	"gtq,set"	isc						"xtq,set"	100																																																																																						0
Upgrade Normal Merc -> NM Merc Set	1			100					2	"ghw,set"	isc						"xhw,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			100					2	"xsb,set"	isc						"ysb,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			100					2	"xtq,set"	isc						"ytq,set"	100																																																																																						0
Upgrade NM Merc -> Hell Merc Set	1			100					2	"xhw,set"	isc						"yhw,set"	100																																																																																						0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	sss						useitem			100	att			75	75																																																																															0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	ppp						useitem			100	swing1			20	20																																																																															0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	eee						useitem			100	dmg-pois		50	256	512																																																																															0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	hh2						useitem			100	dmg%			50	50																																																																															0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	ggg						useitem			100	crush			10	10																																																																															0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	hly						useitem			100	dmg-demon			50	50	dmg-undead			50	50																																																																										0
Golem Blade + Crafting Item -> Bonus	1			0					2	gbl	ttt						useitem			100	ac%			50	50																																																																															0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	sss						useitem			100	att			75	75																																																																															0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	ppp						useitem			100	swing1			20	20																																																																															0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	eee						useitem			100	dmg-pois		50	256	512																																																																															0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	hh2						useitem			100	dmg%			50	50																																																																															0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	ggg						useitem			100	crush			10	10																																																																															0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	hly						useitem			100	dmg-demon			50	50	dmg-undead			50	50																																																																										0
Necro Blade + Crafting Item -> Bonus	1			0					2	nbl	ttt						useitem			100	ac%			50	50																																																																															0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	sss						useitem			100	att			75	75																																																																															0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	ppp						useitem			100	swing1			20	20																																																																															0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	eee						useitem			100	dmg-pois		50	256	512																																																																															0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	hh2						useitem			100	dmg%			50	50																																																																															0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	ggg						useitem			100	crush			10	10																																																																															0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	hly						useitem			100	dmg-demon			50	50	dmg-undead			50	50																																																																										0
Necro Scythe + Crafting Item -> Bonus	1			0					2	nsc	ttt						useitem			100	ac%			50	50																																																																															0
Spider's Silk + Any Weapon	1			0					2	weap	sss						useitem			100	pierce			5	5	levelreq			2	2																																																																										0
Dragon Stone + Any Weapon	1			0					2	weap	ppp						useitem			100	swing1			5	5	levelreq			2	2																																																																										0
Blackmoor + Any Weapon	1			0					2	weap	eee						useitem			100	dmg-pois		50	52	77	levelreq			2	2																																																																										0
Forging Hammer + Any Weapon	1			0					2	weap	hh2						useitem			100	dmg%			10	10	levelreq			2	2																																																																										0
Crushed Gem + Any Weapon	1			0					2	weap	ggg						useitem			100	mana			10	10	levelreq			2	2																																																																										0
Holy Symbol + Any Weapon	1			0					2	weap	hly						useitem			100	ac%			10	10	levelreq			2	2																																																																										0
Tyranium Ore + Any Weapon	1			0					2	weap	ttt						useitem			100	hp			10	10	levelreq			2	2																																																																										0
Spider's Silk + Any Armor	1			0					2	armo	sss						useitem			100	mag%			5	5	levelreq			3	3																																																																										0
Dragon Stone + Any Armor	1			0					2	armo	ppp						useitem			100	dmg-min			2	2	levelreq			3	3																																																																										0
Blackmoor + Any Armor	1			0					2	armo	eee						useitem			100	cast1			5	5	levelreq			3	3																																																																										0
Forging Hammer + Any Armor	1			0					2	armo	hh2						useitem			100	ac%			10	10	levelreq			3	3																																																																										0
Crushed Gem + Any Armor	1			0					2	armo	ggg						useitem			100	mana%			5	5	levelreq			3	3																																																																										0
Holy Symbol + Any Armor	1			0					2	armo	hly						useitem			100	res-all			5	5	levelreq			3	3																																																																										0
Tyranium Ore + Any Armor	1			0					2	armo	ttt						useitem			100	hp%			5	5	levelreq			3	3																																																																										0
Spider's Silk + Any Amulet	1			0					2	amul	sss						useitem			100	att%			5	5	levelreq			4	4																																																																										0
Dragon Stone + Any Amulet	1			0					2	amul	ppp						useitem			100	thorns%			5	5	levelreq			4	4																																																																										0
Blackmoor + Any Amulet	1			0					2	amul	eee						useitem			100	mana-kill			2	2	levelreq			4	4																																																																										0
Forging Hammer + Any Amulet	1			0					2	amul	hh2						useitem			100	heal-kill			2	2	levelreq			4	4																																																																										0
Crushed Gem + Any Amulet	1			0					2	amul	ggg						useitem			100	mana%			5	5	levelreq			5	5																																																																										0
Holy Symbol + Any Amulet	1			0					2	amul	hly						useitem			100	res-all			5	5	levelreq			4	4																																																																										0
Tyranium Ore + Any Amulet	1			0					2	amul	ttt						useitem			100	hp%			5	5	levelreq			5	5																																																																										0
Spider's Silk + Any Ring	1			0					2	ring	sss						useitem			100	att			30	30	levelreq			4	4																																																																										0
Dragon Stone + Any Ring	1			0					2	ring	ppp						useitem			100	deadly			5	5	levelreq			4	4																																																																										0
Blackmoor + Any Ring	1			0					2	ring	eee						useitem			100	crush			5	5	levelreq			4	4																																																																										0
Forging Hammer + Any Ring	1			0					2	ring	hh2						useitem			100	lifesteal			1	1	levelreq			5	5																																																																										0
Crushed Gem + Any Ring	1			0					2	ring	ggg						useitem			100	red-mag			2	2	levelreq			4	4																																																																										0
Holy Symbol + Any Ring	1			0					2	ring	hly						useitem			100	manasteal			1	1	levelreq			5	5																																																																										0
Tyranium Ore + Any Ring	1			0					2	ring	ttt						useitem			100	red-dmg			2	2	levelreq			4	4																																																																										0
Knout + Heart + Eye + Brain -> Khalim Flail	1			1					4	9fl	hart	eyes	bran				"qf3,rar"			100																																																																																				0
Dire Flail + Heart + Eye + Brain -> Super Khalim Flail	1			1					4	0fl	hart	eyes	bran				"qf4,rar"			100																																																																																				0
Magic Weapon + 1 Perf Ruby + Yegg's Firedagger -> Adds socket to weapon	1			1					3	"weap,mag"	"grb,qty=1"	Yegg's Firedagger					useitem			100	sock		3	3																																																																																0
Unique Weapon + 1 Perf Ruby + Yegg's Firedagger -> Adds socket to weapon	1			1					4	"weap,uni"	"grb,qty=1"	"Yegg's Firedagger,qty=2"					useitem			100	sock		1	1																																																																																0
Set Weapon + 1 Perf Ruby + Yegg's Firedagger -> Adds socket to weapon	1			1					3	"weap,set"	"grb,qty=1"	Yegg's Firedagger					useitem			100	sock		1	1																																																																																0
Rare Weapon + 1 Perf Ruby + Yegg's Firedagger -> Adds socket to weapon	1			1					3	"weap,rar"	"grb,qty=1"	Yegg's Firedagger					useitem			100	sock		2	2	2																																																																															0
Magic Shield + 3 Perf Amethyst + Stormwynd's Mania -> Rare Shield With 2 Sockets	1			1					5	"shld,mag"	"gvb,qty=3"	Stormwynd's Mania					"usetype,rar"			100	sock			2	2																																																																															0
1 rare energy blade + 6 Perfect sapphire -> Secret of Mana	1			1					7	"9mn,rar"	"gbb,qty=6"						The Secret of Mana	100																																																																																						0
"Any weapon + 3 Perfect amethyst -> Blinding magic sword swing100, att%100, dmg -10/-20"	1			1					4	"weap,any"	"gvb,qty=3"						"usetype,mag"			100	swing3			100	100	dmg-norm			10	20	att%			25	25																																																																					0
cook book + steak -> elixir	1			1					2	yyy	zzz						elx																																																																																							0
Death Blade + 4 Perfect Emeralds + Forging Hammer -> Sarevok's Master	1			1					6	0gd	"ggb,qty=4"	hh2					Sarevok's Master	100																																																																																						0
Armor + 2 Perf Topaz + Tyranium Ore -> SF Armor	1			1					4	tors	"gyb,qty=2"	ttt					"usetype,mag"			100	gethit-skill		51	15	20																																																																															0
Arrow Quiver + Ruby = Burning Arrows	1			100					2	aq2	gsr						"aq2,mag"			100	dmg-fire			2	12																																																																															0
Arrow Quiver + Flawless Ruby = Burning Arrows	1			1					2	aq2	glr						"aq2,mag"			100	dmg-fire			3	18																																																																															0
Arrow Quiver + Blemished Ruby = Burning Arrows	1			1					2	aq2	gpr						"aq2,mag"			100	dmg-fire			4	24																																																																															0
Bolt Quiver + Ruby = Burning Bolts	1			1					2	cq2	gsr						"cq2,mag"			100	dmg-fire			2	12																																																																															0
Bolt Quiver + Flawless Ruby = Burning Bolts	1			1					2	cq2	glr						"cq2,mag"			100	dmg-fire			3	18																																																																															0
Bolt Quiver + Blemished Ruby = Burning Bolts	1			1					2	cq2	gpr						"cq2,mag"			100	dmg-fire			4	24																																																																															0
Socket Missiles	1			1					2	cq2	gem5						"useitem,sock=1"			100																																																																																				0
Socket Missiles	1			1					2	"jave,any"	gem5						"useitem,sock=1"			100																																																																																				0
Socket Missiles	1			1					3	cq2	"gem5,qty=2"						"useitem,sock=2"			100																																																																																				0
Socket Missiles	1			1					3	"jave,any"	"gem5,qty=2"						"useitem,sock=2"			100																																																																																				0
Socket Missiles	1			1					4	cq2	"gem5,qty=3"						"useitem,sock=3"			100																																																																																				0
Socket Missiles	1			1					4	"jave,any"	"gem5,qty=3"						"useitem,sock=3"			100																																																																																				0
Socket Missiles	1			1					5	"jave,any"	"gem5,qty=4"						"useitem,sock=4"			100																																																																																				0
Socket Missiles	1			1					2	"taxe,any"	gem5						"useitem,sock=1"			100																																																																																				0
Socket Missiles	1			1					2	"tkni,any"	gem5						"useitem,sock=1"			100																																																																																				0
Socket Missiles	1			1					3	"taxe,any"	"gem5,qty=2"						"useitem,sock=2"			100																																																																																				0
Socket Missiles	1			1					3	"tkni,any"	"gem5,qty=2"						"useitem,sock=2"			100																																																																																				0
Socket Missiles	1			1					4	"taxe,any"	"gem5,qty=3"						"useitem,sock=3"			100																																																																																				0
Socket Missiles	1			1					4	"tkni,any"	"gem5,qty=3"						"useitem,sock=3"			100																																																																																				0
Socket Missiles	1			1					5	"taxe,any"	"gem5,qty=4"						"useitem,sock=4"			100																																																																																				0
Socket Missiles	1			1					2	"aq2,any"	gem5						"useitem,sock=1"			100																																																																																				0
Socket Missiles	1			1					3	"aq2,any"	"gem5,qty=2"						"useitem,sock=2"			100																																																																																				0
Socket Missiles	1			1					4	"aq2,any"	"gem5,qty=3"						"useitem,sock=3"			100																																																																																				0
Magic Bow + 1 Perf Emerald + Spider's Silk -> Bow with 125% dmg/25% ar boost	1			1					3	"miss,mag"	ggb	sss					"usetype,mag"		100		dmg%			125	125	att%			25	25																																																																										0
Magic Dagger + 1 Perf Skull + Blackmoor -> Dagger 50% Cast Level 10 Teeth on Atk	1			1					3	"knif,mag,upg"	skb	eee					useitem		100		att-skill		67	50	10																																																																															0
"Magic Claw + 1 Perf Ruby + 1 Perf Emerald + -> 15% ias, +claw mastery"	1			1					4	"h2h,upg"	grb	ggb	ppp				"usetype,mag"		100		swing1			25	25	skill		261	2	2	dmg%			50	100																																																																					0
"Magic Scepter + Holy Symbol + 1 Perf Diamond -> +150% dmg vs undead, +200% dmg vs demon, +200 ar vs undead, +200 ar vs demon"	1			1					3	"scep,upg"	hly	gwb					"usetype,mag"		100		dmg-undead			150	150	dmg-demon			200	200	att-undead			200	200	att-demon			200	200																																																																0
Magic Helm + Crushed Gem + Mana Potion -> 100% dmg to mana	1			1					3	"helm,upg"	ggg	mp5					"usetype,mag"		100		dmg-to-mana			50	50																																																																															0
magic helm + jewel + spider's silk + perfect emerald -> amazon helm	1			1				ama	4	"helm,mag"	jew	sss	ggb				"usetype,crf"		100		dex			10	20	enr			5	15	att%			10	25	ac%			25	75																																																																0
magic boots + jewel + spider's silk + perfect emerald -> amazon boots	1			1				ama	4	"boot,mag"	jew	sss	ggb				"usetype,crf"		100		move1			10	30	skill		16	1	3	stam			20	60	ac%			20	60																																																																0
magic gloves + jewel + spider's silk + perfect emerald -> amazon gloves	1			1				ama	4	"glov,mag"	jew	sss	ggb				"usetype,crf"		100		skill		9	1	3	skill		34	1	3	dex			10	20	ac%			20	60																																																																0
magic belt + jewel + spider's silk + perfect emerald -> amazon belt	1			1				ama	4	"belt,mag"	jew	sss	ggb				"usetype,crf"		100		regen			5	15	str			10	20	vit			5	15	ac%			20	60																																																																0
magic shield + jewel + spider's silk + perfect emerald -> amazon shield	1			1				ama	4	"shld,mag"	jew	sss	ggb				"usetype,crf"		100		block2			10	30	vit			10	20	block			10	20	ac%			30	90																																																																0
magic armor + jewel + spider's silk + perfect emerald -> amazon armor	1			1				ama	4	"tors,mag"	jew	sss	ggb				"usetype,crf"		100		skill		29	1	3	skilltab		1	1	2	ac%			75	150																																																																					0
magic amulet + jewel + spider's silk + perfect emerald -> amazon amulet	1			1				ama	4	"amul,mag"	jew	sss	ggb				"usetype,crf"		100		ama			1	3	dex			10	20	mana			10	20	res-all			10	20																																																																0
magic ring + jewel + spider's silk + perfect emerald -> amazon ring	1			1				ama	4	"ring,mag"	jew	sss	ggb				"usetype,crf"		100		ama			1	2	dex			10	15	mana			10	30	dmg-min			1	6																																																																0
magic amazon weap + jewel + spider's silk + perfect emerald -> amazon weapon	1			1				ama	4	"miss,mag"	jew	sss	ggb				"usetype,crf"		100		dmg%			125	250	swing2			20	40	skilltab		0	1	2																																																																					0
magic weap + jewel + spider's silk + perfect emerald -> amazon weapon	1			1				ama	4	"mele,mag"	jew	sss	ggb				"usetype,crf"		100		dmg%			100	200	swing1			20	40	skill		34	1	3	skill		35	1	3																																																																0
magic helm + jewel + dragon stone + perfect ruby -> assassin helm	1			1				ass	4	"helm,mag"	jew	ppp	grb				"usetype,crf"		100		dex			10	20	deadly			10	30	att			60	180	ac%			20	60																																																																0
magic boots + jewel + dragon stone + perfect ruby -> assassin boots	1			1				ass	4	"boot,mag"	jew	ppp	grb				"usetype,crf"		100		move1			15	30	stamdrain			20	40	skill		278	1	3																																																																					0
magic gloves + jewel + dragon stone + perfect ruby -> assassin gloves	1			1				ass	4	"glov,mag"	jew	ppp	grb				"usetype,crf"		100		skill		253	2	4	skill		259	1	3	skill		274	1	3	ac%			20	60																																																																0
magic belt + jewel + dragon stone + perfect ruby -> assassin belt	1			1				ass	4	"belt,mag"	jew	ppp	grb				"usetype,crf"		100		red-mag			2	6	red-dmg			3	9	dex			10	20	ac%			30	90																																																																0
magic shield + jewel + dragon stone + perfect ruby -> assassin shield	1			1				ass	4	"shld,mag"	jew	ppp	grb				"usetype,crf"		100		block1			15	30	skill		257	1	3	ac%			30	90																																																																					0
magic armor + jewel + dragon stone + perfect ruby -> assassin armor	1			1				ass	4	"tors,mag"	jew	ppp	grb				"usetype,crf"		100		skill		254	1	3	skilltab		19	1	2	ac%			75	150																																																																					0
magic amulet + jewel + dragon stone + perfect ruby -> assassin amulet	1			1				ass	4	"amul,mag"	jew	ppp	grb				"usetype,crf"		100		ass			1	3	dex			15	30	res-all			15	25																																																																					0
magic ring + jewel + dragon stone + perfect ruby -> assassin ring	1			1				ass	4	"ring,mag"	jew	ppp	grb				"usetype,crf"		100		ass			1	2	dex			10	20	dmg-min			2	8																																																																					0
magic assassin weap + jewel + dragon stone + ruby -> assassin weapon	1			1				ass	4	"asns,mag"	jew	ppp	grb				"usetype,crf"		100		dmg%			125	250	swing3			30	60	ass			1	2																																																																					0
magic weap + jewel + dragon stone + ruby -> assassin weapon	1			1				ass	4	"weap,mag"	jew	ppp	grb				"usetype,crf"		100		dmg%			100	200	swing3			30	60	skill		256	1	3																																																																					0
magic helm + jewel + blackmoor + perfect skull -> necro helm	1			1				nec	4	"helm,mag"	jew	eee	skb				"usetype,crf"		100		mana%			10	20	cast1			5	15	skilltab		8	1	2	ac%			30	90																																																																0
magic boots + jewel + blackmoor + perfect skull -> necro boots	1			1				nec	4	"boot,mag"	jew	eee	skb				"usetype,crf"		100		move1			10	30	stam			20	60	ac%			20	60																																																																					0
magic gloves + jewel + blackmoor + perfect skull -> necro gloves	1			1				nec	4	"glov,mag"	jew	eee	skb				"usetype,crf"		100		cast1			10	20	skill		69	1	3	skill		76	2	6																																																																					0
magic belt + jewel + blackmoor + perfect skull -> necro belt	1			1				nec	4	"belt,mag"	jew	eee	skb				"usetype,crf"		100		red-mag			3	9	str			10	20	ac%			20	60																																																																					0
magic shield + jewel + blackmoor + perfect skull -> necro shield	1			1				nec	4	"shld,mag"	jew	eee	skb				"usetype,crf"		100		block1			10	20	skill		67	2	4	ac%			40	120																																																																					0
magic armor + jewel + blackmoor + perfect skull -> necro armor	1			1				nec	4	"tors,mag"	jew	eee	skb				"usetype,crf"		100		skill		68	1	3	skilltab		67	1	2	ac%			75	150																																																																					0
magic amulet + jewel + blackmoor + perfect skull -> necro amulet	1			1				nec	4	"amul,mag"	jew	eee	skb				"usetype,crf"		100		nec			1	3	enr			10	30	res-all			10	20	cast1			10	20																																																																0
magic ring + jewel + blackmoor + perfect skull -> necro ring	1			1				nec	4	"ring,mag"	jew	eee	skb				"usetype,crf"		100		nec			1	2	enr			10	20	hp			25	75																																																																					0
magic necro weap + jewel + blackmoor + perfect skull -> necro weapon	1			1				nec	4	"ndgr,mag"	jew	eee	skb				"usetype,crf"		100		dmg%			125	250	swing3			35	70	skill		69	2	6																																																																					0
magic weap + jewel + blackmoor + perfect skull -> necro weapon	1			1				nec	4	"weap,mag"	jew	eee	skb				"usetype,crf"		100		dmg%			100	200	swing2			30	60	crush			15	45																																																																					0
magic helm + jewel + forging hammer + perfect amethyst -> barb helm	1			1				bar	4	"helm,mag"	jew	hh2	gvb				"usetype,crf"		100		hp%			10	20	ac%			40	120	skilltab		14	1	2																																																																					0
magic boots + jewel + forging hammer + perfect amethyst -> barb boots	1			1				bar	4	"boot,mag"	jew	hh2	gvb				"usetype,crf"		100		move2			10	30	crush			10	20	ac%			25	75																																																																					0
magic gloves + jewel + forging hammer + perfect amethyst -> barb gloves	1			1				bar	4	"glov,mag"	jew	hh2	gvb				"usetype,crf"		100		swing1			10	20	dex			10	20	ac%			20	60																																																																					0
magic belt + jewel + forging hammer + perfect amethyst -> barb belt	1			1				bar	4	"belt,mag"	jew	hh2	gvb				"usetype,crf"		100		str			15	30	ac%			20	60	mana			20	40																																																																					0
magic shield + jewel + forging hammer + perfect amethyst -> barb shield	1			1				bar	4	"shld,mag"	jew	hh2	gvb				"usetype,crf"		100		block			10	20	ac%			40	120	sock		1	1	1																																																																					0
magic armor + jewel + forging hammer + perfect amethyst -> barb armor	1			1				bar	4	"tors,mag"	jew	hh2	gvb				"usetype,crf"		100		skill		145	1	3	skilltab		12	1	2	ac%			75	150																																																																					0
magic amulet + jewel + forging hammer + perfect amethyst -> barb amulet	1			1				bar	4	"amul,mag"	jew	hh2	gvb				"usetype,crf"		100		bar			1	3	str			15	30	res-all			10	20	dmg-min			2	8																																																																0
magic ring + jewel + forging hammer + perfect amethyst -> barb ring	1			1				bar	4	"ring,mag"	jew	hh2	gvb				"usetype,crf"		100		bar			1	2	str			10	20	dmg-min			1	6																																																																					0
magic barb weap + jewel + forging hammer + amethyst -> barb weapon	1			1				bar	4	"bjav,mag"	jew	hh2	gvb				"usetype,crf"		100		dmg%			125	250	swing3			35	70	skill		139	2	6	skill		134	2	6																																																																0
magic weap + jewel + forging hammer + amethyst -> barb weapon	1			1				bar	4	"weap,mag"	jew	hh2	gvb				"usetype,crf"		100		dmg%			100	200	swing2			20	40	skilltab		13	1	2																																																																					0
magic helm + jewel + crushed gem + perfect saphire -> sorceress helm	1			1				sor	4	"helm,mag"	jew	ggg	gbb				"usetype,crf"		100		mana%			10	20	cast1			10	20	sor			1	1	ac%			20	60																																																																0
magic boots + jewel + crushed gem + perfect saphire -> sorceress boots	1			1				sor	4	"boot,mag"	jew	ggg	gbb				"usetype,crf"		100		move1			10	30	stam			30	90	ac%			30	90																																																																					0
magic gloves + jewel + crushed gem + perfect saphire -> sorceress gloves	1			1				sor	4	"glov,mag"	jew	ggg	gbb				"usetype,crf"		100		cast1			10	20	skill		45	2	6	mana			30	90																																																																					0
magic belt + jewel + crushed gem + perfect saphire -> sorceress belt	1			1				sor	4	"belt,mag"	jew	ggg	gbb				"usetype,crf"		100		dmg-to-mana			20	60	balance3			20	40	ac%			20	60																																																																					0
