Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 5 Melee C			1						mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee B	629			35	664	0.9473	0
Act 1 (N) Melee A			1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Melee C	769			36	805	0.9553	0
Act 1 (N) Melee B			1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Melee A	935			36	971	0.9629	0
Act 2 (N) Melee A			1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Melee B	1148			42	1190	0.9647	0
Act 2 (N) Melee B			1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Melee A	1020			36	1056	0.9659	0
Act 3 (N) Melee A			1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Melee B	1063			36	1099	0.9672	0
Act 3 (N) Melee B			1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Melee A	1105			36	1141	0.9684	0
Act 4 (N) Melee A			1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Melee B	1339			42	1381	0.9696	0
Act 4 (N) Melee B			1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Melee A	1190			36	1226	0.9706	0
Act 5 (N) Melee A			1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Melee B	1275			36	1311	0.9725	0
Act 5 (N) Melee B			1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Melee A	1743			42	1785	0.9765	0
Act 5 (N) Melee C			1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Melee B	1530			36	1566	0.977	0
Act 1 (H) Melee A			1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Melee C	1781			42	1823	0.977	0
Act 1 (H) Melee B			1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Melee A	1530			36	1566	0.977	0
Act 2 (H) Melee A			1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Melee B	1530			36	1566	0.977	0
Act 2 (H) Melee B			1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Melee A	1530			36	1566	0.977	0
Act 3 (H) Melee A			1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Melee B	1781			42	1823	0.977	0
Act 3 (H) Melee B			1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Melee A	1530			36	1566	0.977	0
Act 4 (H) Melee A			1						weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Melee B	1530			36	1566	0.977	0
Act 4 (H) Melee B			1						weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Melee A	1530			36	1566	0.977	0
Act 5 (H) Melee A			1						weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Melee B	1530			36	1566	0.977	0
Act 5 (H) Melee B			1						weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Melee A	1530			36	1566	0.977	0
Act 5 (H) Melee C			1						weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Melee B	1530			35	1565	0.9776	0
Act 1 Bow A			1						bow3	36																						0
Act 1 Bow B			1						bow3	20	bow6	16																				0
Act 1 Bow C			1						bow3	10	bow6	16	bow9	10																		0
Act 2 Bow A			1						bow3	3	bow6	15	bow9	15	bow12	3																0
Act 2 Bow B			1						bow3	1	bow6	7	bow9	20	bow12	7	bow15	1														0
Act 2 Bow C			1						bow3	1	bow6	3	bow9	14	bow12	14	bow15	3	bow18	1												0
Act 3 Bow A			1						bow3	1	bow6	3	bow9	6	bow12	12	bow15	6	bow18	3	bow21	1										0
Act 3 Bow B			1						bow3	1	bow6	3	bow9	6	bow12	8	bow15	8	bow18	6	bow21	3	bow24	1								0
Act 3 Bow C			1						bow3	1	bow6	2	bow9	5	bow12	7	bow15	8	bow18	7	bow21	4	bow24	2								0
Act 4 Bow A			1						bow6	1	bow9	3	bow12	6	bow15	8	bow18	8	bow21	6	bow24	3	bow27	1	Act 3 Bow C	110			36	146	0.7534	0
Act 4 Bow B			1						bow6	1	bow9	2	bow12	5	bow15	7	bow18	8	bow21	7	bow24	4	bow27	2	Act 4 Bow A	180			36	216	0.8333	0
Act 5 Bow A			1						bow9	1	bow12	3	bow15	6	bow18	8	bow21	8	bow24	6	bow27	3	bow30	1	Act 4 Bow B	270			36	306	0.8824	0
Act 5 Bow B			1						bow9	1	bow12	2	bow15	5	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow A	380			36	416	0.9135	0
Act 5 Bow C			1						bow9	1	bow12	2	bow15	5	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow B	500			36	536	0.9328	0
Act 1 (N) Bow A			1						bow12	1	bow15	2	bow18	5	bow21	7	bow24	8	bow27	7	bow30	4	bow33	2	Act 5 Bow C	630			36	666	0.9459	0
Act 1 (N) Bow B			1						bow15	1	bow18	2	bow21	5	bow24	7	bow27	8	bow30	7	bow33	4	bow36	2	Act 1 (N) Bow A	770			36	806	0.9553	0
Act 2 (N) Bow A			1						bow18	1	bow21	2	bow24	5	bow27	7	bow30	8	bow33	7	bow36	4	bow39	2	Act 1 (N) Bow B	920			36	956	0.9623	0
Act 2 (N) Bow B			1						bow21	1	bow24	2	bow27	5	bow30	7	bow33	8	bow36	7	bow39	4	bow42	2	Act 2 (N) Bow A	1070			36	1106	0.9675	0
Act 3 (N) Bow A			1						bow24	1	bow27	2	bow30	5	bow33	7	bow36	8	bow39	7	bow42	4	bow45	2	Act 2 (N) Bow B	1220			36	1256	0.9713	0
Act 3 (N) Bow B			1						bow27	1	bow30	2	bow33	5	bow36	7	bow39	8	bow42	7	bow45	4	bow48	2	Act 3 (N) Bow A	1370			36	1406	0.9744	0
Act 4 (N) Bow A			1						bow30	1	bow33	2	bow36	5	bow39	7	bow42	8	bow45	7	bow48	4	bow51	2	Act 3 (N) Bow B	1520			36	1556	0.9769	0
Act 4 (N) Bow B			1						bow33	1	bow36	2	bow39	5	bow42	7	bow45	8	bow48	7	bow51	4	bow54	2	Act 4 (N) Bow A	1670			36	1706	0.9789	0
Act 5 (N) Bow A			1						bow36	1	bow39	2	bow42	5	bow45	7	bow48	8	bow51	7	bow54	4	bow57	2	Act 4 (N) Bow B	1820			36	1856	0.9806	0
Act 5 (N) Bow B			1						bow39	1	bow42	2	bow45	5	bow48	7	bow51	8	bow54	7	bow57	4	bow60	2	Act 5 (N) Bow A	1970			36	2006	0.9821	0
Act 5 (N) Bow C			1						bow42	1	bow45	2	bow48	5	bow51	7	bow54	8	bow57	7	bow60	4	bow63	2	Act 5 (N) Bow B	2120			36	2156	0.9833	0
Act 1 (H) Bow A			1						bow45	1	bow48	2	bow51	5	bow54	7	bow57	8	bow60	7	bow63	4	bow66	2	Act 5 (N) Bow C	2270			36	2306	0.9844	0
Act 1 (H) Bow B			1						bow48	1	bow51	2	bow54	5	bow57	7	bow60	8	bow63	7	bow66	4	bow69	2	Act 1 (H) Bow A	2270			36	2306	0.9844	0
Act 2 (H) Bow A			1						bow51	1	bow54	2	bow57	5	bow60	7	bow63	8	bow66	7	bow69	4	bow72	2	Act 1 (H) Bow B	2270			36	2306	0.9844	0
Act 2 (H) Bow B			1						bow54	1	bow57	2	bow60	5	bow63	7	bow66	8	bow69	7	bow72	4	bow75	2	Act 2 (H) Bow A	2270			36	2306	0.9844	0
Act 3 (H) Bow A			1						bow57	1	bow60	2	bow63	5	bow66	7	bow69	8	bow72	7	bow75	4	bow78	2	Act 2 (H) Bow B	2270			36	2306	0.9844	0
Act 3 (H) Bow B			1						bow60	1	bow63	2	bow66	5	bow69	7	bow72	8	bow75	7	bow78	4	bow81	2	Act 3 (H) Bow A	2270			36	2306	0.9844	0
Act 4 (H) Bow A			1						bow63	1	bow66	2	bow69	5	bow72	7	bow75	8	bow78	7	bow81	4	bow84	2	Act 3 (H) Bow B	2270			36	2306	0.9844	0
Act 4 (H) Bow B			1						bow66	1	bow69	2	bow72	5	bow75	7	bow78	8	bow81	7	bow84	2	bow84	1	Act 4 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow A			1						bow69	1	bow72	2	bow75	5	bow78	7	bow81	8	bow84	7	bow87	2	bow87	1	Act 4 (H) Bow B	2080			33	2113	0.9844	0
Act 5 (H) Bow B			1						bow72	1	bow75	2	bow78	5	bow81	7	bow84	8	bow87	7	bow87	2	bow87	1	Act 5 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow C			1						bow75	1	bow78	2	bow81	5	bow84	7	bow87	8	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow B	1655			26	1681	0.9845	0
Act 1 Magic A			1						tsc	2	isc	4	mp1	6																		0
Act 1 Magic B			1						tsc	2	isc	4	mp1	4	mp2	2																0
Act 1 Magic C			1						tsc	2	isc	4	mp1	2	mp2	4																0
Act 2 Magic A			1						tsc	2	isc	4	mp1	1	mp2	4	mp3	1														0
Act 2 Magic B			1						tsc	2	isc	4	mp1	1	mp2	3	mp3	2														0
Act 2 Magic C			1						tsc	2	isc	4	mp2	2	mp3	3	mp4	1														0
Act 3 Magic A			1						tsc	2	isc	4	mp3	4	mp4	2																0
Act 3 Magic B			1						tsc	2	isc	4	mp3	3	mp4	3																0
Act 3 Magic C			1						tsc	2	isc	4	mp3	2	mp4	3	mp5	1														0
Act 4 Magic A			1						tsc	2	isc	4	mp3	1	mp4	4	mp5	1														0
Act 4 Magic B			1						tsc	2	isc	4	mp4	4	mp5	2																0
Act 5 Magic A			1						tsc	2	isc	4	mp4	3	mp5	3																0
Act 5 Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 Magic C			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (N) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (N) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (N) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (N) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (N) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (N) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (N) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (N) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (N) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (N) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (N) Magic C			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (H) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (H) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (H) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (H) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (H) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (H) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (H) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (H) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (H) Magic A			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (H) Magic B			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (H) Magic C			1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 Good			1						Jewelry A	5	Chipped Gem	5	Scrolls 1	1	Scrolls 2	1																0
Act 2 Good			1						Jewelry B	20	Chipped Gem	12	Flawed Gem	4	Runes 1	3	Runes 2	3	Scrolls 3	1	Scrolls 4	1										0
Act 3 Good			1						Jewelry C	20	Chipped Gem	8	Flawed Gem	8	Runes 3	3	Runes 4	3	Scrolls 5	1												0
Act 4 Good			1						Jewelry C	50	Chipped Gem	14	Flawed Gem	28	Normal Gem	42	Runes 5	14	Runes 6	7	Scrolls 6	2										0
Act 5 Good			1						Jewelry C	50	Chipped Gem	6	Flawed Gem	8	Normal Gem	24	Flawless Gem	4	Runes 7	10	Scrolls 7	2										0
Act 1 (N) Good			1						Jewelry C	60	Chipped Gem	6	Flawed Gem	8	Normal Gem	28	Flawless Gem	14	Runes 8	14	Scrolls 8	2										0
Act 2 (N) Good			1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 9	14	Scrolls 9	2										0
Act 3 (N) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 10	14	Scrolls 10	2										0
Act 4 (N) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 11	14	Scrolls 11	2										0
Act 5 (N) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 12	14	Scrolls 12	2										0
Act 1 (H) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 13	14	Scrolls 13	2										0
Act 2 (H) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 14	14	Scrolls 14	2										0
Act 3 (H) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 15	14	Scrolls 15	2										0
Act 4 (H) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 16	14	Scrolls 16	2	Perfect Gem	1								0
Act 5 (H) Good			1						Jewelry D	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 16	14	Scrolls 17	2	Perfect Gem	1								0
Act 1 Chest A			4					66	gld	15	Act 1 Junk	15	Act 1 Equip A	10	Act 1 Good	2																0
Act 1 Chest B			4					66	gld	15	Act 1 Junk	15	Act 1 Equip B	10	Act 1 Good	2																0
Act 1 Chest C			4					66	gld	15	Act 1 Junk	12	Act 2 Junk	3	Act 1 Equip C	15	Act 1 Good	2														0
Act 2 Chest A			4					66	gld	15	Act 2 Junk	15	Act 2 Equip A	10	Act 2 Good	2																0
Act 2 Chest B			4					66	gld	15	Act 2 Junk	15	Act 2 Equip B	10	Act 2 Good	2																0
Act 2 Chest C			4					66	gld	15	Act 2 Junk	12	Act 3 Junk	3	Act 2 Equip C	15	Act 2 Good	2														0
Act 3 Chest A			4					66	gld	15	Act 3 Junk	15	Act 3 Equip A	10	Act 3 Good	2																0
Act 3 Chest B			4					66	gld	15	Act 3 Junk	15	Act 3 Equip B	10	Act 3 Good	2																0
Act 3 Chest C			4					66	gld	15	Act 3 Junk	15	Act 3 Equip C	10	Act 3 Good	2																0
Act 4 Chest A			4					66	gld	15	Act 4 Junk	15	Act 4 Equip A	10	Act 4 Good	2																0
Act 4 Chest B			4					66	gld	15	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2																0
Act 4 Chest C			4					66	gld	15	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2																0
Act 5 Chest A			4					66	gld	15	Act 5 Junk	15	Act 5 Equip A	10	Act 5 Good	2																0
Act 5 Chest B			4					66	gld	15	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2																0
Act 5 Chest C			4					66	gld	15	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2																0
Act 1 (N) Chest A			4					66	gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip A	10	Act 1 (N) Good	2																0
Act 1 (N) Chest B			4					66	gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2																0
Act 1 (N) Chest C			4					66	gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2																0
Act 2 (N) Chest A			4					66	gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip A	10	Act 2 (N) Good	2																0
Act 2 (N) Chest B			4					66	gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2																0
Act 2 (N) Chest C			4					66	gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2																0
Act 3 (N) Chest A			4					66	gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip A	10	Act 3 (N) Good	2																0
Act 3 (N) Chest B			4					66	gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2																0
Act 3 (N) Chest C			4					66	gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2																0
Act 4 (N) Chest A			4					66	gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip A	10	Act 4 (N) Good	2																0
Act 4 (N) Chest B			4					66	gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip B	10	Act 4 (N) Good	2																0
Act 4 (N) Chest C			4					66	gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip C	10	Act 4 (N) Good	2																0
Act 5 (N) Chest A			4					66	gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip A	10	Act 5 (N) Good	2																0
Act 5 (N) Chest B			4					66	gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2																0
Act 5 (N) Chest C			4					66	gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2																0
Act 1 (H) Chest A			4					66	gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip A	10	Act 1 (H) Good	2																0
Act 1 (H) Chest B			4					66	gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2																0
Act 1 (H) Chest C			4					66	gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2																0
Act 2 (H) Chest A			4					66	gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip A	10	Act 2 (H) Good	2																0
Act 2 (H) Chest B			4					66	gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2																0
Act 2 (H) Chest C			4					66	gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2																0
Act 3 (H) Chest A			4					66	gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip A	10	Act 3 (H) Good	2																0
Act 3 (H) Chest B			4					66	gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2																0
Act 3 (H) Chest C			4					66	gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2																0
Act 4 (H) Chest A			4					66	gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip A	10	Act 4 (H) Good	2																0
Act 4 (H) Chest B			4					66	gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2																0
Act 4 (H) Chest C			4					66	gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2																0
Act 5 (H) Chest A			4					66	gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip A	10	Act 5 (H) Good	2																0
Act 5 (H) Chest B			4					66	gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2																0
Act 5 (H) Chest C			4					66	gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2																0
Act 1 H2H A			1					66	gld	21	Act 1 Equip A	16	Act 1 Junk	21	Act 1 Good	2																0
Act 1 H2H B			1					66	gld	21	Act 1 Equip B	16	Act 1 Junk	21	Act 1 Good	2																0
Act 1 H2H C			1					66	gld	21	Act 1 Equip C	16	Act 1 Junk	21	Act 1 Good	2																0
Act 2 H2H A			1					66	gld	21	Act 2 Equip A	16	Act 2 Junk	21	Act 2 Good	2																0
Act 2 H2H B			1					66	gld	21	Act 2 Equip B	16	Act 2 Junk	21	Act 2 Good	2																0
Act 2 H2H C			1					66	gld	21	Act 2 Equip C	16	Act 2 Junk	21	Act 3 Good	2																0
Act 3 H2H A			1					66	gld	21	Act 3 Equip A	16	Act 3 Junk	21	Act 3 Good	2																0
Act 3 H2H B			1					66	gld	21	Act 3 Equip B	16	Act 3 Junk	21	Act 3 Good	2																0
Act 3 H2H C			1					66	gld	21	Act 3 Equip C	16	Act 3 Junk	21	Act 3 Good	2																0
Act 4 H2H A			1					66	gld	21	Act 4 Equip A	16	Act 4 Junk	21	Act 4 Good	2																0
Act 4 H2H B			1					66	gld	21	Act 4 Equip B	16	Act 4 Junk	21	Act 4 Good	2																0
Act 5 H2H A			1					66	gld	21	Act 5 Equip A	16	Act 5 Junk	21	Act 5 Good	2																0
Act 5 H2H B			1					66	gld	21	Act 5 Equip B	16	Act 5 Junk	21	Act 5 Good	2																0
Act 5 H2H C			1					66	gld	21	Act 5 Equip C	16	Act 5 Junk	21	Act 5 Good	2																0
Act 1 (N) H2H A			1					66	gld	21	Act 1 (N) Equip A	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																0
Act 1 (N) H2H B			1					66	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																0
Act 1 (N) H2H C			1					66	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																0
Act 2 (N) H2H A			1					66	gld	21	Act 2 (N) Equip A	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																0
Act 2 (N) H2H B			1					66	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																0
Act 2 (N) H2H C			1					66	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																0
Act 3 (N) H2H A			1					66	gld	21	Act 3 (N) Equip A	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																0
Act 3 (N) H2H B			1					66	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																0
Act 3 (N) H2H C			1					66	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																0
Act 4 (N) H2H A			1					66	gld	21	Act 4 (N) Equip A	16	Act 4 (N) Junk	21	Act 4 (N) Good	2																0
Act 4 (N) H2H B			1					66	gld	21	Act 4 (N) Equip B	16	Act 4 (N) Junk	21	Act 4 (N) Good	2																0
Act 5 (N) H2H A			1					66	gld	21	Act 5 (N) Equip A	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																0
Act 5 (N) H2H B			1					66	gld	21	Act 5 (N) Equip B	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																0
Act 5 (N) H2H C			1					66	gld	21	Act 5 (N) Equip C	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																0
Act 1 (H) H2H A			1					66	gld	21	Act 1 (H) Equip A	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																0
Act 1 (H) H2H B			1					66	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																0
Act 1 (H) H2H C			1					66	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																0
Act 2 (H) H2H A			1					66	gld	21	Act 2 (H) Equip A	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																0
Act 2 (H) H2H B			1					66	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																0
Act 2 (H) H2H C			1					66	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																0
Act 3 (H) H2H A			1					66	gld	21	Act 3 (H) Equip A	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																0
Act 3 (H) H2H B			1					66	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																0
Act 3 (H) H2H C			1					66	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																0
Act 4 (H) H2H A			1					66	gld	21	Act 4 (H) Equip A	16	Act 1 (H) Junk	21	Act 4 (H) Good	2																0
Act 4 (H) H2H B			1					66	gld	21	Act 4 (H) Equip B	16	Act 1 (H) Junk	21	Act 4 (H) Good	2																0
Act 5 (H) H2H A			1					66	gld	21	Act 5 (H) Equip A	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																0
Act 5 (H) H2H B			1					66	gld	21	Act 5 (H) Equip B	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																0
Act 5 (H) H2H C			1					66	gld	21	Act 5 (H) Equip C	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																0
Act 1 Cast A			1					66	gld	18	Act 1 Equip A	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic A	7														0
Act 1 Cast B			1					66	gld	18	Act 1 Equip B	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic B	7														0
Act 1 Cast C			1					66	gld	18	Act 1 Equip C	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic C	7														0
Act 2 Cast A			1					66	gld	18	Act 2 Equip A	15	Act 2 Junk	18	Act 2 Good	2	Act 2 Magic A	7														0
Act 2 Cast B			1					66	gld	18	Act 2 Equip B	15	Act 2 Junk	18	Act 2 Good	2	Act 2 Magic B	7														0
Act 2 Cast C			1					66	gld	18	Act 2 Equip C	15	Act 2 Junk	18	Act 3 Good	2	Act 2 Magic C	7														0
Act 3 Cast A			1					66	gld	18	Act 3 Equip A	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic A	7														0
Act 3 Cast B			1					66	gld	18	Act 3 Equip B	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic B	7														0
Act 3 Cast C			1					66	gld	18	Act 3 Equip C	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic C	7														0
Act 4 Cast A			1					66	gld	18	Act 4 Equip A	15	Act 4 Junk	18	Act 4 Good	2	Act 4 Magic A	7														0
Act 4 Cast B			1					66	gld	18	Act 4 Equip B	15	Act 4 Junk	18	Act 4 Good	2	Act 4 Magic B	7														0
Act 5 Cast A			1					66	gld	18	Act 5 Equip A	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic A	7														0
Act 5 Cast B			1					66	gld	18	Act 5 Equip B	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic B	7														0
Act 5 Cast C			1					66	gld	18	Act 5 Equip C	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic C	7														0
