Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword127	Light	1		spea	pole							5	Ka Mi Ya Ka Ri 	r04	r10	r11	r04	r09		dmg-ltng		25	125	dmg-ltng/lvl	118			res-ltng		40	40	res-ltng/lvl	8			light		5	5	hit-skill	Chain Lightning	10	12	gethit-skill	Charged Bolt	9	12	0
Runeword128	Smoke	1		tors								3	Ke Mu Ki   	r17	r40	r08				ac%		200	200	allskills		3	3	res-all		50	50	balance2		20	20	light		-3	-3	charged	Weaken	10	18	move3		30	30	0
Runeword129	Sorrow	1		tors								4	Ka Na Shi Mi  	r04	r29	r03	r10			ac%		160	180	hp%		-15	-15	slow		75	75	oskill	Decrepify	4	4	thorns		120	120	thorns/lvl	80			res-all		30	30	0
Runeword130	Spirit	1		helm								3	Ko Ko Ro   	r19	r19	r38				res-all		20	30	allskills		1	1	abs-ltng%		20	20	abs-fire%		20	20	half-freeze		1	1	str		25	25	vit		20	20	0
Runeword131	Zenith	1		tors								5	Te N Chi Yo U 	r37	r05	r14	r07	r02		ac%		175	225	allskills		3	3	str		20	20	res-all		25	25	ease		-20	-30	rep-dur	10			ac/lvl	24			0
Runeword132	One	1		helm								3	Hi To Tsu   	r34	r26	r13				dmg%		100	100	allskills		1	1	ac%		100	100	mag%		100	100	gold%		100	100	att%		100	100	ease		100	100	0
Runeword133	Hot	1		armo								2	Ne Tsu    	r41	r13					ac%		250	250	abs-fire%		25	25	gethit-skill	Nova	10	35	dmg-fire		100	150	dmg-fire/lvl	68			hp%		15	15	allskills		2	2	0
Runeword134	Admiration	1		weap								4	Su U Ha I  	r43	r02	r28	r01			dmg%		200	200	bar		3	3	swing3		30	30	att%		40	40	deadly		50	50	lifesteal		6	6	manasteal		6	6	0
Runeword135	Transformation	1		tors								4	He N Shi N  	r44	r05	r03	r05			ac%		160	160	skilltab	16	4	4	move3		30	30	balance3		30	30	skill	Shape Shifting	3	3	regen		45	45	dmg%		25	50	0
Runeword136	Change	1		weap								6	He N Ka Wo Su Ru	r44	r05	r04	r46	r43	r24	att-skill	Frozen Orb	10	30	att-skill	Fire Ball	10	36	hit-skill	Chain Lightning	10	30	att-skill	Bone Spirit	10	30	hit-skill	Poison Nova	10	35	swing3		50	50	ignore-ac		1	1	0
Runeword137	Cunning	1		miss								5	Nu Ke Me Na I 	r45	r17	r23	r29	r01		dmg%		175	225	skilltab	0	4	4	skill	Pierce	3	3	deadly		50	50	swing3		30	45	ama		3	4	dex		30	30	0
Runeword138	Storm	1		scep	bedg							3	A Ra Shi   	r12	r20	r03				skill	Holy Shock	6	6	skill	Fist of the Heavens	4	4	hit-skill	Chain Lightning	4	8	dmg-ltng		32	128	res-ltng		40	40	res-ltng-max		10	10	dmg-ltng/lvl	48			0
Runeword139	Strength	1		mele								3	Tsu Yo Sa   	r13	r07	r15				dmg%		150	150	str		25	25	vit		10	10	crush		30	30													0
Runeword140	Soul Stealer	1		mele								5	Ki Wo Nu Su Mu 	r08	r46	r45	r43	r40		dmg%		200	200	lifesteal		12	12	manasteal		12	12	rip		1	1	crush		40	40	freeze		3	3	swing3		40	40	0
Runeword141	Temptation	1		shld								4	Yu U Wa Ku  	r16	r02	r27	r06			ac%		300	300	red-dmg%		75	75	hp%		-60	-60	mana%		-60	-60													0
Runeword142	Terror	1		mele								4	Ki Yo O Fu  	r08	r07	r21	r32			dmg%		175	225	att		250	250	deadly		60	60	swing3		60	60	att/lvl	10			oskill	Terror	4	4	oskill	Howl	5	5	0
Runeword143	Thirst	1		spea	pole							5	U E Te I Ru 	r02	r18	r37	r01	r24		dmg%		175	225	lifesteal		9	9	stamdrain		50	50	swing2		30	30	move3		30	30	rep-dur	100			manasteal		6	6	0
Runeword144	Thought	1		helm								3	Shi So O   	r03	r39	r21				enr/lvl	4			vit/lvl	4			str/lvl	4			dex/lvl	4			ac/lvl	16			cast3		30	30	swing3		30	30	0
Runeword145	Thunder	1		mele								4	Ka Mi Na Ri  	r04	r10	r29	r09			dmg%		120	120	dmg-ltng		50	200	dmg-ltng/lvl	64			abs-ltng%		20	20	hit-skill	Chain Lightning	8	18	aura	Holy Shock	6	6	light-thorns		250	250	0
Runeword146	Placidity	1		pelt								4	He I Se I  	r44	r01	r31	r01			ac%		120	120	dru		4	4	regen		40	40	mag%		75	75	res-all		35	35	rep-dur	10			dmg%		40	40	0
Runeword147	Tradition	1		mele								5	I I Tsu Ta E 	r01	r01	r13	r25	r18		dmg%		125	175	swing2		30	30	att		200	200	ac%		100	100	block		10	10	dur		100	100					0
Runeword148	Exuberance	1		knif								3	A I Ka   	r12	r01	r04				swing3		40	40	move3		40	40	balance3		30	30	hp		40	40	deadly		35	35	ac		50	50	throw		1	1	0
Runeword149	Trust	1		weap								4	Shi N Ra I  	r03	r05	r20	r01			dmg%		125	150	lifesteal		4	6	red-dmg%		15	15	swing1		15	15	res-all		20	20	mana-kill		4	6	dmg-norm		10	15	0
Runeword150	Demon	1		asns								5	I Nu Ya Shi ya 	r01	r45	r11	r03	r52		dmg%		250	250	ass		4	4	swing3		50	50	att		350	350	lifesteal		6	12	abs-fire%		50	50	dmg-fire/lvl	80			0
Runeword151	Fox	1		tors								3	Ki Tsu Ne   	r08	r13	r41				ac%		200	300	balance3		30	30	dex		50	50	move3		30	30	lifesteal		5	5	manasteal		4	4	ac/lvl	16			0
Runeword152	Vengeance	1		weap								5	Fu Ku Shi yu U 	r32	r06	r03	r16	r02		dmg%		160	240	dmg-ltng		32	256	dmg-cold	100	45	180	dmg-fire		75	300	dmg-fire/lvl	64			dmg-cold/lvl	56			dmg-ltng/lvl	80			0
Runeword153	Forsee	1		helm	mele							4	Yo Chi Su Ru  	r07	r14	r43	r24			att%		100	100	allskills		3	3	deadly		100	100	swing3		50	50	oskill	Prayer	6	9	charged	Teleport	30	1					0
Runeword154	Victory	1		tors								4	Shi yo U Ri  	r03	r07	r21	r09			ac%		125	125	mana-kill		8	8	heal-kill		8	8	gold%		160	160	mag%		80	80	str		15	15					0
Runeword155	War	1		mace	hamm							4	Se N So O  	r31	r05	r39	r21			dmg%		240	280	swing2		30	30	crush		25	25	hit-skill	Static Field	5	6	str		35	35	vit		25	25	ease		-50	-50	0
Runeword156	Wealth	1		tors								2	To Mi    	r26	r10					ac%		100	100	gold%		250	250	mag%		100	100	gold%/lvl	16			mag%/lvl	8			regen		-2	-2					0
Runeword157	Whisper	1		miss								4	Sa Sa Ya Ku  	r15	r15	r11	r06			dmg%		75	125	move2		25	25	swing2		25	25	att		150	150	gethit-skill	Tornado	5	4	ac%		75	75	skill	Dodge	2	2	0
Runeword158	White	1		scep	bedg							3	Shi Ro I   	r03	r38	r01				pal		4	4	dmg-undead		250	250	dmg-demon		300	300	skill	Sanctuary	15	15	att-skill	Holy Bolt	20	30	skill	Blessed Hammer	12	12	skill	Fist of the Heavens	9	9	0
Runeword159	Wisdom	1		helm								2	Chi E    	r14	r18					ac%		75	75	enr/lvl	2			vit/lvl	2			str/lvl	2			dex/lvl	2			ac/lvl	8			stam/lvl	6			0
Runeword160	Woe	1		npol								4	Ka Na Shi Mi  	r04	r29	r03	r10			nec		3	3	skilltab	6	3	3	light		-2	-2	aura	Thorns	2	2	skill	Iron Maiden	5	5	skill	Amplify Damage	5	5	skill	Lower Resist	3	3	0
Runeword161	Wrath	1		mace	hamm	club						3	I Ka Ri   	r01	r04	r09				dmg%		100	100	crush/lvl	4			swing3		30	30	deadly		50	50	thorns/lvl	40			hit-skill	Chain Lightning	5	6	gethit-skill	Static Field	8	4	0
Runeword162	Youth	1		tors								3	Wa Ka Sa    	r27	r04	r15				vit		20	20	move2		20	20	balance2		20	20	block2		20	20	ac%		200	200	swing1		20	20	stam		40	40	0
Runeword163	Summer	1		wand	knif							2	Na Tsu    	r29	r13					regen		30	30	regen-mana		120	120	cast2		20	20	move2		20	20	oskill	Fire Ball	8	8	oskill	Meteor	6	6	abs-fire%		30	30	0
Runeword164	Burn	1		mele								3	Mo Ya Su   	r35	r11	r43				dmg-fire		100	500	dmg-fire/lvl	64			abs-cold%		100	100	nofreeze		1	1	fireskill		3	3	gethit-skill	Nova	8	32	att-skill	Fire Ball	10	35	0
Runeword165	Hawk	1		helm								2	Ta Ka    	r25	r04					att%		50	50	deadly		50	50	light		5	5	skill	Raven	5	5	dex		30	30	skill	Penetrate	2	2	move3		30	30	0
Runeword166	Unlawful	1		wand	scep	staf						3	Fu Ho U   	r32	r22	r02				lifesteal		9	9	manasteal		9	9	oskill	Lower Resist	3	3	swing3		30	30	dmg%/time	3	80	320	ease		-40	-40	hit-skill	Amplify Damage	8	8	0
Runeword167	Nightgown	1		tors								3	Ne Ma Ki   	r41	r33	r08				ac%/time	2	50	400	hp/time	2	50	300	mana/time	2	50	300	res-cold/time	2	1	150	res-fire/time	2	1	150	res-ltng/time	2	1	150	res-pois/time	2	1	150	0
Runeword168	Painful	1		mele								3	I Ta I   	r01	r25	r01				dmg%		450	450	res-all		-50	-50	thorns		125	125	thorns/lvl	64			gethit-skill	Iron Maiden	10	5	hp%		-75	-75					0
Runeword169	Gluttony	1		mele								5	Fu To Ku Na Ru 	r32	r26	r06	r29	r24		lifesteal		18	18	manasteal		12	12	mag%		100	100	gold%		200	200	mag%/lvl	4			gold%/lvl	16			move1		-20	-20	0
Runeword170	Discontent	1		helm								3	Fu He I   	r32	r44	r01				gethit-skill	Static Field	10	20	oskill	Lower Resist	5	10	aura	Defiance	4	8	charged	Summon Grizzly	1	20	charged	Shadow Master	1	20	oskill	Battle Orders	3	6	charged	Valkyrie	1	20	0
Runeword171	Fossil of the Sun	1		tors								3	E Se Ki   	r18	r31	r08				abs-fire%		20	20	gethit-skill	Nova	10	16	hit-skill	Meteor	15	14	allskills		2	2	res-fire		80	80	fireskill		3	3	regen		50	50	0
Runeword172	Holy	1		helm	tors	boot						1		gcw						gethit-skill	Fist of the Heavens	2	1																								 	0
Runeword173	Holy	1		helm	tors	boot						1		gfw						gethit-skill	Fist of the Heavens	3	1																								 	0
Runeword174	Holy	1		helm	tors	boot						1		gsw						gethit-skill	Fist of the Heavens	4	1																								 	0
Runeword175	Holy	1		helm	tors	boot						1		glw						gethit-skill	Fist of the Heavens	5	1																								 	0
Runeword176	Holy	1		helm	tors	boot						1		gpw						gethit-skill	Fist of the Heavens	6	1																								 	0
Runeword177	Holy	1		helm	tors	boot						1		gwb						gethit-skill	Fist of the Heavens	8	1																								 	0
Runeword178	Holy	1		helm	tors	boot						2		gcw	gcw					gethit-skill	Fist of the Heavens	4	2																								 	0
Runeword179	Holy	1		helm	tors	boot						2		gfw	gfw					gethit-skill	Fist of the Heavens	5	2																								 	0
Runeword180	Holy	1		helm	tors	boot						2		gsw	gsw					gethit-skill	Fist of the Heavens	6	2																								 	0
Runeword181	Holy	1		helm	tors	boot						2		glw	glw					gethit-skill	Fist of the Heavens	7	2																								 	0
Runeword182	Holy	1		helm	tors	boot						2		gpw	gpw					gethit-skill	Fist of the Heavens	8	2																								 	0
Runeword183	Holy	1		helm	tors	boot						2		gwb	gwb					gethit-skill	Fist of the Heavens	10	2																								 	0
Runeword184	Holy	1		helm	tors							3		gcw	gcw	gcw				gethit-skill	Fist of the Heavens	6	3																								 	0
Runeword185	Holy	1		helm	tors							3		gfw	gfw	gfw				gethit-skill	Fist of the Heavens	7	3																								 	0
Runeword186	Holy	1		helm	tors							3		gsw	gsw	gsw				gethit-skill	Fist of the Heavens	8	3																								 	0
Runeword187	Holy	1		helm	tors							3		glw	glw	glw				gethit-skill	Fist of the Heavens	9	3																								 	0
Runeword188	Holy	1		helm	tors							3		gpw	gpw	gpw				gethit-skill	Fist of the Heavens	10	3																								 	0
Runeword189	Holy	1		helm	tors							3		gwb	gwb	gwb				gethit-skill	Fist of the Heavens	12	3																								 	0
Runeword190	Holy	1		helm	tors							4		gcw	gcw	gcw	gcw			gethit-skill	Fist of the Heavens	8	4																								 	0
Runeword191	Holy	1		helm	tors							4		gfw	gfw	gfw	gfw			gethit-skill	Fist of the Heavens	9	4																								 	0
Runeword192	Holy	1		helm	tors							4		gsw	gsw	gsw	gsw			gethit-skill	Fist of the Heavens	10	4																								 	0
Runeword193	Holy	1		helm	tors							4		glw	glw	glw	glw			gethit-skill	Fist of the Heavens	11	4																								 	0
Runeword194	Holy	1		helm	tors							4		gpw	gpw	gpw	gpw			gethit-skill	Fist of the Heavens	12	4																								 	0
Runeword195	Holy	1		helm	tors							4		gwb	gwb	gwb	gwb			gethit-skill	Fist of the Heavens	14	4																								 	0
Runeword196	Holy	1		helm	tors							5		gcw	gcw	gcw	gcw	gcw		gethit-skill	Fist of the Heavens	10	5																								 	0
Runeword197	Holy	1		helm	tors							5		gfw	gfw	gfw	gfw	gfw		gethit-skill	Fist of the Heavens	11	5																								 	0
Runeword198	Holy	1		helm	tors							5		gsw	gsw	gsw	gsw	gsw		gethit-skill	Fist of the Heavens	12	5																								 	0
Runeword199	Holy	1		helm	tors							5		glw	glw	glw	glw	glw		gethit-skill	Fist of the Heavens	13	5																								 	0
Runeword200	Holy	1		helm	tors							5		gpw	gpw	gpw	gpw	gpw		gethit-skill	Fist of the Heavens	14	5																								 	0
Runeword201	Holy	1		helm	tors							5		gwb	gwb	gwb	gwb	gwb		gethit-skill	Fist of the Heavens	16	5																								 	0
Runeword202	Holy	1		helm	tors							6		gcw	gcw	gcw	gcw	gcw	gcw	gethit-skill	Fist of the Heavens	12	6																								 	0
Runeword203	Holy	1		helm	tors							6		gfw	gfw	gfw	gfw	gfw	gfw	gethit-skill	Fist of the Heavens	13	6																								 	0
Runeword204	Holy	1		helm	tors							6		gsw	gsw	gsw	gsw	gsw	gsw	gethit-skill	Fist of the Heavens	14	6																								 	0
Runeword205	Holy	1		helm	tors							6		glw	glw	glw	glw	glw	glw	gethit-skill	Fist of the Heavens	15	6																								 	0
Runeword206	Holy	1		helm	tors							6		gpw	gpw	gpw	gpw	gpw	gpw	gethit-skill	Fist of the Heavens	16	6																								 	0
Runeword207	Holy	1		helm	tors							6		gwb	gwb	gwb	gwb	gwb	gwb	gethit-skill	Fist of the Heavens	18	6																								 	0
Runeword208	Holy	1		weap	glov							1		gcw						hit-skill	Fist of the Heavens	2	1																								 	0
Runeword209	Holy	1		weap	glov							1		gfw						hit-skill	Fist of the Heavens	3	1																								 	0
Runeword210	Holy	1		weap	glov							1		gsw						hit-skill	Fist of the Heavens	4	1																								 	0
Runeword211	Holy	1		weap	glov							1		glw						hit-skill	Fist of the Heavens	5	1																								 	0
Runeword212	Holy	1		weap	glov							1		gpw						hit-skill	Fist of the Heavens	6	1																								 	0
Runeword213	Holy	1		weap	glov							1		gwb						hit-skill	Fist of the Heavens	8	1																								 	0
Runeword214	Holy	1		weap	glov							2		gcw	gcw					hit-skill	Fist of the Heavens	4	2																								 	0
Runeword215	Holy	1		weap	glov							2		gfw	gfw					hit-skill	Fist of the Heavens	5	2																								 	0
Runeword216	Holy	1		weap	glov							2		gsw	gsw					hit-skill	Fist of the Heavens	6	2																								 	0
Runeword217	Holy	1		weap	glov							2		glw	glw					hit-skill	Fist of the Heavens	7	2																								 	0
Runeword218	Holy	1		weap	glov							2		gpw	gpw					hit-skill	Fist of the Heavens	8	2																								 	0
Runeword219	Holy	1		weap	glov							2		gwb	gwb					hit-skill	Fist of the Heavens	10	2																								 	0
Runeword220	Holy	1		weap								3		gcw	gcw	gcw				hit-skill	Fist of the Heavens	6	3																								 	0
Runeword221	Holy	1		weap								3		gfw	gfw	gfw				hit-skill	Fist of the Heavens	7	3																								 	0
Runeword222	Holy	1		weap								3		gsw	gsw	gsw				hit-skill	Fist of the Heavens	8	3																								 	0
Runeword223	Holy	1		weap								3		glw	glw	glw				hit-skill	Fist of the Heavens	9	3																								 	0
Runeword224	Holy	1		weap								3		gpw	gpw	gpw				hit-skill	Fist of the Heavens	10	3																								 	0
Runeword225	Holy	1		weap								3		gwb	gwb	gwb				hit-skill	Fist of the Heavens	12	3																								 	0
Runeword226	Holy	1		weap								4		gcw	gcw	gcw	gcw			hit-skill	Fist of the Heavens	8	4																								 	0
Runeword227	Holy	1		weap								4		gfw	gfw	gfw	gfw			hit-skill	Fist of the Heavens	9	4																								 	0
Runeword228	Holy	1		weap								4		gsw	gsw	gsw	gsw			hit-skill	Fist of the Heavens	10	4																								 	0
Runeword229	Holy	1		weap								4		glw	glw	glw	glw			hit-skill	Fist of the Heavens	11	4																								 	0
Runeword230	Holy	1		weap								4		gpw	gpw	gpw	gpw			hit-skill	Fist of the Heavens	12	4																								 	0
Runeword231	Holy	1		weap								4		gwb	gwb	gwb	gwb			hit-skill	Fist of the Heavens	14	4																								 	0
Runeword232	Holy	1		weap								5		gcw	gcw	gcw	gcw	gcw		hit-skill	Fist of the Heavens	10	5																								 	0
Runeword233	Holy	1		weap								5		gfw	gfw	gfw	gfw	gfw		hit-skill	Fist of the Heavens	11	5																								 	0
Runeword234	Holy	1		weap								5		gsw	gsw	gsw	gsw	gsw		hit-skill	Fist of the Heavens	12	5																								 	0
Runeword235	Holy	1		weap								5		glw	glw	glw	glw	glw		hit-skill	Fist of the Heavens	13	5																								 	0
Runeword236	Holy	1		weap								5		gpw	gpw	gpw	gpw	gpw		hit-skill	Fist of the Heavens	14	5																								 	0
Runeword237	Holy	1		weap								5		gwb	gwb	gwb	gwb	gwb		hit-skill	Fist of the Heavens	16	5																								 	0
Runeword238	Holy	1		weap								6		gcw	gcw	gcw	gcw	gcw	gcw	hit-skill	Fist of the Heavens	12	6																								 	0
Runeword239	Holy	1		weap								6		gfw	gfw	gfw	gfw	gfw	gfw	hit-skill	Fist of the Heavens	13	6																								 	0
Runeword240	Holy	1		weap								6		gsw	gsw	gsw	gsw	gsw	gsw	hit-skill	Fist of the Heavens	14	6																								 	0
Runeword241	Holy	1		weap								6		glw	glw	glw	glw	glw	glw	hit-skill	Fist of the Heavens	15	6																								 	0
Runeword242	Holy	1		weap								6		gpw	gpw	gpw	gpw	gpw	gpw	hit-skill	Fist of the Heavens	16	6																								 	0
Runeword243	Holy	1		weap								6		gwb	gwb	gwb	gwb	gwb	gwb	hit-skill	Fist of the Heavens	18	6																								 	0
Runeword244	Holy	1		shld	belt							1		gcw						gethit-skill	Fist of the Heavens	2	1																								 	0
Runeword245	Holy	1		shld	belt							1		gfw						gethit-skill	Fist of the Heavens	3	1																								 	0
Runeword246	Holy	1		shld	belt							1		gsw						gethit-skill	Fist of the Heavens	4	1																								 	0
Runeword247	Holy	1		shld	belt							1		glw						gethit-skill	Fist of the Heavens	5	1																								 	0
Runeword248	Holy	1		shld	belt							1		gpw						gethit-skill	Fist of the Heavens	6	1																								 	0
Runeword249	Holy	1		shld	belt							1		gwb						gethit-skill	Fist of the Heavens	8	1																								 	0
Runeword250	Holy	1		shld	belt							2		gcw	gcw					gethit-skill	Fist of the Heavens	4	2																								 	0
Runeword251	Holy	1		shld	belt							2		gfw	gfw					gethit-skill	Fist of the Heavens	5	2																								 	0
Runeword252	Holy	1		shld	belt							2		gsw	gsw					gethit-skill	Fist of the Heavens	6	2																								 	0
Runeword253	Holy	1		shld	belt							2		glw	glw					gethit-skill	Fist of the Heavens	7	2																								 	0
Runeword254	Holy	1		shld	belt							2		gpw	gpw					gethit-skill	Fist of the Heavens	8	2																								 	0
Runeword255	Holy	1		shld	belt							2		gwb	gwb					gethit-skill	Fist of the Heavens	10	2																								 	0
Runeword256	Holy	1		shld								3		gcw	gcw	gcw				gethit-skill	Fist of the Heavens	6	3																								 	0
Runeword257	Holy	1		shld								3		gfw	gfw	gfw				gethit-skill	Fist of the Heavens	7	3																								 	0
Runeword258	Holy	1		shld								3		gsw	gsw	gsw				gethit-skill	Fist of the Heavens	8	3																								 	0
Runeword259	Holy	1		shld								3		glw	glw	glw				gethit-skill	Fist of the Heavens	9	3																								 	0
Runeword260	Holy	1		shld								3		gpw	gpw	gpw				gethit-skill	Fist of the Heavens	10	3																								 	0
Runeword261	Holy	1		shld								3		gwb	gwb	gwb				gethit-skill	Fist of the Heavens	12	3																								 	0
Runeword262	Holy	1		shld								4		gcw	gcw	gcw	gcw			gethit-skill	Fist of the Heavens	8	4																								 	0
Runeword263	Holy	1		shld								4		gfw	gfw	gfw	gfw			gethit-skill	Fist of the Heavens	9	4																								 	0
Runeword264	Holy	1		shld								4		gsw	gsw	gsw	gsw			gethit-skill	Fist of the Heavens	10	4																								 	0
Runeword265	Holy	1		shld								4		glw	glw	glw	glw			gethit-skill	Fist of the Heavens	11	4																								 	0
Runeword266	Holy	1		shld								4		gpw	gpw	gpw	gpw			gethit-skill	Fist of the Heavens	12	4																								 	0
Runeword267	Holy	1		shld								4		gwb	gwb	gwb	gwb			gethit-skill	Fist of the Heavens	14	4																								 	0
Runeword268	Mighty	1		helm	tors	boot						1		gcv						gethit-skill	Weaken	2	1																								 	0
Runeword269	Mighty	1		helm	tors	boot						1		gfv						gethit-skill	Weaken	3	1																								 	0
Runeword270	Mighty	1		helm	tors	boot						1		gsv						gethit-skill	Weaken	4	1																								 	0
Runeword271	Mighty	1		helm	tors	boot						1		gzv						gethit-skill	Weaken	5	1																								 	0
Runeword272	Mighty	1		helm	tors	boot						1		gpv						gethit-skill	Weaken	6	1																								 	0
Runeword273	Mighty	1		helm	tors	boot						1		gvb						gethit-skill	Weaken	8	1																								 	0
Runeword274	Mighty	1		helm	tors	boot						2		gcv	gcv					gethit-skill	Weaken	4	2																								 	0
Runeword275	Mighty	1		helm	tors	boot						2		gfv	gfv					gethit-skill	Weaken	5	2																								 	0
Runeword276	Mighty	1		helm	tors	boot						2		gsv	gsv					gethit-skill	Weaken	6	2																								 	0
Runeword277	Mighty	1		helm	tors	boot						2		gzv	gzv					gethit-skill	Weaken	7	2																								 	0
Runeword278	Mighty	1		helm	tors	boot						2		gpv	gpv					gethit-skill	Weaken	8	2																								 	0
Runeword279	Mighty	1		helm	tors	boot						2		gvb	gvb					gethit-skill	Weaken	10	2																								 	0
Runeword280	Mighty	1		helm	tors							3		gcv	gcv	gcv				gethit-skill	Weaken	6	3																								 	0
Runeword281	Mighty	1		helm	tors							3		gfv	gfv	gfv				gethit-skill	Weaken	7	3																								 	0
Runeword282	Mighty	1		helm	tors							3		gsv	gsv	gsv				gethit-skill	Weaken	8	3																								 	0
Runeword283	Mighty	1		helm	tors							3		gzv	gzv	gzv				gethit-skill	Weaken	9	3																								 	0
Runeword284	Mighty	1		helm	tors							3		gpv	gpv	gpv				gethit-skill	Weaken	10	3																								 	0
Runeword285	Mighty	1		helm	tors							3		gvb	gvb	gvb				gethit-skill	Weaken	12	3																								 	0
Runeword286	Mighty	1		helm	tors							4		gcv	gcv	gcv	gcv			gethit-skill	Weaken	8	4																								 	0
Runeword287	Mighty	1		helm	tors							4		gfv	gfv	gfv	gfv			gethit-skill	Weaken	9	4																								 	0
Runeword288	Mighty	1		helm	tors							4		gsv	gsv	gsv	gsv			gethit-skill	Weaken	10	4																								 	0
Runeword289	Mighty	1		helm	tors							4		gzv	gzv	gzv	gzv			gethit-skill	Weaken	11	4																								 	0
Runeword290	Mighty	1		helm	tors							4		gpv	gpv	gpv	gpv			gethit-skill	Weaken	12	4																								 	0
Runeword291	Mighty	1		helm	tors							4		gvb	gvb	gvb	gvb			gethit-skill	Weaken	14	4																								 	0
Runeword292	Mighty	1		helm	tors							5		gcv	gcv	gcv	gcv	gcv		gethit-skill	Weaken	10	5																								 	0
Runeword293	Mighty	1		helm	tors							5		gfv	gfv	gfv	gfv	gfv		gethit-skill	Weaken	11	5																								 	0
Runeword294	Mighty	1		helm	tors							5		gsv	gsv	gsv	gsv	gsv		gethit-skill	Weaken	12	5																								 	0
Runeword295	Mighty	1		helm	tors							5		gzv	gzv	gzv	gzv	gzv		gethit-skill	Weaken	13	5																								 	0
Runeword296	Mighty	1		helm	tors							5		gpv	gpv	gpv	gpv	gpv		gethit-skill	Weaken	14	5																								 	0
Runeword297	Mighty	1		helm	tors							5		gvb	gvb	gvb	gvb	gvb		gethit-skill	Weaken	16	5																								 	0
Runeword298	Mighty	1		helm	tors							6		gcv	gcv	gcv	gcv	gcv	gcv	gethit-skill	Weaken	12	6																								 	0
Runeword299	Mighty	1		helm	tors							6		gfv	gfv	gfv	gfv	gfv	gfv	gethit-skill	Weaken	13	6																								 	0
Runeword300	Mighty	1		helm	tors							6		gsv	gsv	gsv	gsv	gsv	gsv	gethit-skill	Weaken	14	6																								 	0
Runeword301	Mighty	1		helm	tors							6		gzv	gzv	gzv	gzv	gzv	gzv	gethit-skill	Weaken	15	6																								 	0
Runeword302	Mighty	1		helm	tors							6		gpv	gpv	gpv	gpv	gpv	gpv	gethit-skill	Weaken	16	6																								 	0
Runeword303	Mighty	1		helm	tors							6		gvb	gvb	gvb	gvb	gvb	gvb	gethit-skill	Weaken	18	6																								 	0
Runeword304	Mighty	1		weap	glov							1		gcv						hit-skill	Amplify Damage	2	1																								 	0
Runeword305	Mighty	1		weap	glov							1		gfv						hit-skill	Amplify Damage	3	1																								 	0
Runeword306	Mighty	1		weap	glov							1		gsv						hit-skill	Amplify Damage	4	1																								 	0
Runeword307	Mighty	1		weap	glov							1		gzv						hit-skill	Amplify Damage	5	1																								 	0
Runeword308	Mighty	1		weap	glov							1		gpv						hit-skill	Amplify Damage	6	1																								 	0
Runeword309	Mighty	1		weap	glov							1		gvb						hit-skill	Amplify Damage	8	1																								 	0
Runeword310	Mighty	1		weap	glov							2		gcv	gcv					hit-skill	Amplify Damage	4	2																								 	0
Runeword311	Mighty	1		weap	glov							2		gfv	gfv					hit-skill	Amplify Damage	5	2																								 	0
Runeword312	Mighty	1		weap	glov							2		gsv	gsv					hit-skill	Amplify Damage	6	2																								 	0
Runeword313	Mighty	1		weap	glov							2		gzv	gzv					hit-skill	Amplify Damage	7	2																								 	0
Runeword314	Mighty	1		weap	glov							2		gpv	gpv					hit-skill	Amplify Damage	8	2																								 	0
Runeword315	Mighty	1		weap	glov							2		gvb	gvb					hit-skill	Amplify Damage	10	2																								 	0
Runeword316	Mighty	1		weap								3		gcv	gcv	gcv				hit-skill	Amplify Damage	6	3																								 	0
Runeword317	Mighty	1		weap								3		gfv	gfv	gfv				hit-skill	Amplify Damage	7	3																								 	0
Runeword318	Mighty	1		weap								3		gsv	gsv	gsv				hit-skill	Amplify Damage	8	3																								 	0
Runeword319	Mighty	1		weap								3		gzv	gzv	gzv				hit-skill	Amplify Damage	9	3																								 	0
Runeword320	Mighty	1		weap								3		gpv	gpv	gpv				hit-skill	Amplify Damage	10	3																								 	0
Runeword321	Mighty	1		weap								3		gvb	gvb	gvb				hit-skill	Amplify Damage	12	3																								 	0
Runeword322	Mighty	1		weap								4		gcv	gcv	gcv	gcv			hit-skill	Amplify Damage	8	4																								 	0
Runeword323	Mighty	1		weap								4		gfv	gfv	gfv	gfv			hit-skill	Amplify Damage	9	4																								 	0
Runeword324	Mighty	1		weap								4		gsv	gsv	gsv	gsv			hit-skill	Amplify Damage	10	4																								 	0
Runeword325	Mighty	1		weap								4		gzv	gzv	gzv	gzv			hit-skill	Amplify Damage	11	4																								 	0
Runeword326	Mighty	1		weap								4		gpv	gpv	gpv	gpv			hit-skill	Amplify Damage	12	4																								 	0
Runeword327	Mighty	1		weap								4		gvb	gvb	gvb	gvb			hit-skill	Amplify Damage	14	4																								 	0
