index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Stormspire	100	1		1		78	70	7wc	Giant Thresher			5	5000	dblu	dblu						res-ltng		50	50	gethit-skill	53	5	5	dmg%		150	250	str		10	10	gethit-skill	38	2	0	swing2		30	30	indestruct		1	1	dmg-ltng		1	237	light-thorns		27	27	*enr		-10	-10									0
Eaglehorn	100	1		1		77	69	6l7	Crusader Bow			5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		200	200	ama		1	1	dex		25	25																									0
Windforce	100	1		1		80	73	6lw	Hydra Bow			5	5000	dyel	dyel						dex		5	5	dmg/lvl	25			regen-stam		30	30	manasteal		6	8	knock		1	1	dmg%		250	250	swing2		20	20	str		10	10																	0
Rings																																																																					0
Bul Katho's Wedding Band	100	1		1		66	58	rin	Ring			5	5000	dpur	dpur						hp/lvl	4			allskills		1	1	lifesteal		3	5	stam		50	50																																	0
The Cat's Eye	100	1		5		58	50	amu	Amulet			5	5000	oran	oran						move2		30	30	swing2		20	20	ac		100	100	ac-miss		100	100	dex		25	25																													0
The Rising Sun	100	1		5		73	65	amu	Amulet			5	5000	lgld	lgld						abs-fire/lvl	6			light		4	4	gethit-skill	56	2	0	dmg-fire		24	48	fireskill		2	2	regen		10	10																									0
Crescent Moon	100	1		5		58	50	amu	Amulet			5	5000	lblu	lblu						manasteal		11	15	red-mag		10	10	dmg-to-mana		10	10	light		-2	-2	mana		45	45	lifesteal		3	6																									0
Mara's Kaleidoscope	100	1		5		80	67	amu	Amulet			5	5000	oran	oran						allskills		2	2	res-all		20	30	str		5	5	dex		5	5	vit		5	5	enr		5	5																									0
Atma's Scarab	100	1		5		60	60	amu	Amulet			5	5000	cgrn	cgrn						dmg-pois	100	102	102	res-pois		75	75	light		3	3	thorns		5	5	hit-skill	66	5	2	att%		20	20																									0
Dwarf Star	100	1		10		53	45	rin	Ring			5	5000	dgry	dgry						gold%		100	100	stam		40	40	regen-stam		15	15	hp		40	40	red-mag		12	15	abs-fire%		15	15																									0
Raven Frost	100	1		10		53	45	rin	Ring			5	5000	cblu	cblu						nofreeze		1	1	dmg-cold	100	15	45	abs-cold%		20	20	mana		40	40	dex		15	20	att		150	250																									0
Highlord's Wrath	100	1		5		73	65	amu	Amulet			5	5000	bwht	bwht						res-ltng		35	35	dmg-ltng		1	30	swing2		20	20	allskills		1	1	deadly/lvl	3			light-thorns		15	15																									0
Saracen's Chance	100	1		5		55	47	amu	Amulet			5	5000	dpur	dpur						res-all		15	25	gethit-skill	76	10	2	str		12	12	dex		12	12	enr		12	12	vit		12	12																									0
Class Specific																																																																					0
Arreat's Face	100	1		1		50	42	baa	Slayer Guard			5	5000								bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		3	6	res-all		30	30													0
Homunculus	100	1		1		50	42	nea	Heirophant Trophy			5	5000								nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		5	5	res-all		40	40													0
Titan's Revenge	100	1		1		50	42	ama	Ceremonial Javelin			5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	move2		30	30	rep-quant	30			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	stack		60	60									0
Lycander's Aim	100	1		1		50	42	am7	Ceremonial Bow			5	5000								ama		2	2	skilltab	0	2	2	dmg%		150	200	swing2		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50													0
Lycander's Flank	100	1		1		50	42	am9	Ceremonial Pike			5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50													0
The Oculus	100	1		1		50	42	oba	Swirling Crystal			5	5000								sor		3	3	gethit-skill	54	25	1	res-all		20	20	cast2		30	30	ac%		20	20	vit		20	20	enr		20	20	mana-kill		5	5	mag%		50	50													0
Herald of Zakarum	100	1		1		50	42	pa9	Aerin Shield			5	5000								pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		20	20	res-all		50	50													0
Cutthroat1	100	1		1		50	42	9tw	Runic Talons			5	5000								ass		2	2	skilltab	20	1	1	dmg%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50													0
Jalal's Mane	100	1		1		50	42	dra	Dream Spirit			5	5000								dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	enr		20	20	mana-kill		5	5	res-all		30	30													0
The Scalper	100	1		1		65	57	9ta	Francisca			5	5000								rep-quant	30			dmg%		150	200	att%		25	25	swing2		20	20	openwounds		33	33	lifesteal		4	6	mana-kill		4	4																					0
Bloodmoon	100	1		1		69	61	7sb	elegant blade			5	5000	cred	cred		invsbru				dmg%		210	260	lifesteal		10	15	charged	BloodGolem	9	15	heal-kill		7	13	openwounds		50	50																													0
Ironlord's Plate	0	1		1		38	28	fld	Field Plate			9	25000	lpur	lpur						ac		50	50	str		20	30	hp		10	30	mana		10	30	half-freeze		1	1	regen-stam		10	50	ac/lvl	16			str/lvl	4																			0
Deathbit	100	1		1		52	44	9tk	battle dart			5	5000								deadly		40	40	dmg%		130	180	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	25																											0
Krujoy's Mail	0	1		1		30	22	spl	Splint Mail			9	25000	lgld	lgld						ac		20	20	res-cold		20	40	res-fire		10	30	thorns		15	45	balance2		10	30	ac/lvl	16			allskills		1	1																					0
Gutsiphon	100	1		1		79	71	6rx	demon crossbow			5	5000	lgrn	lgrn		invrxbu				dmg%		160	220	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		33	33																													0
Razoredge	100	1		1		75	67	7ha	tomahawk			5	5000	lblu			invhaxu				dmg%		175	225	swing2		40	40	reduce-ac		33	33	deadly		50	50	openwounds		50	50																													0
Gore Ripper	100			1								5	5000	dred	dred																																																						0
Demonlimb	100	1		1		71	63	7sp	tyrant club			5	5000	dgrn	dgrn		invspcu				dmg%		180	230	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	20	23	rep-dur	5			dmg-demon		123	123	res-fire		15	20																					0
Steelshade	100	1		1		70	62	ulm	armet			5	5000	blac	blac		invhlmu				ac%		100	130	abs-fire		5	11	manasteal		4	8	regen		10	18																																	0
Rathma's Protector	0	1		1		22	16	stu	Studded Leather			8	20000	lgrn	lgrn						ac		15	45	res-pois-len		30	90	res-pois		20	40	dex		17	23	str		22	33	ac/lvl	24			str/lvl	3			dex/lvl	3			gethit-skill	Poison Nova	20	5													0
Deaths's Web	100	1		1		74	66	7gw	unearthed wand			5	5000	bwht	bwht						allskills		2	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2																													0
Gecko's Leather	0	1		1		16	12	lea	Leather Armor			7	15000	dred	dred						ac		24	24	cast1		5	15	res-fire		45	45	hp		25	50	hp/lvl	20			ac/lvl	16			gethit-skill	Charged Bolt	30	7																					0
Zuez' Padding	0	1		1		9	7	qui	Quilted Armor			6	10000	dgry	dgry						ac		10	10	res-all		10	15	str		7	14	dex		7	14	red-dmg		3	5	red-mag		2	4	ac/lvl	16																							0
The Rainbow Cloak	0	1		1		7	2	clk	Cloak			6	10000	lpur	lpur						str		2	6	dex		2	6	vit		2	6	enr		2	6	hp		5	15	res-all		5	10	res-fire/lvl	4			res-ltng/lvl	4			res-cold/lvl	4			res-pois/lvl	4											0
Zakarum's Salvation	100			1								5	5000																																																								0
Fleshripper	100	1		1		76	68	7kr	fanged knife			5	5000	dred	dred		invkrsu				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																					0
Odium	100			1								5	5000	blac																																																							0
Horizon's Tornado	100	1		5		72	64	7fl	scourge			5	5000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	-20																													0
Stone Crusher	100	1		4		76	68	7wh	legendary mallet			5	5000	whit							dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																									0
Jadetalon	100	1		1		74	66	7wb	wrist sword			5	5000	cgrn	cgrn						dmg%		190	240	manasteal		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																									0
Visor of the Tropics	0	1		1		73	66	yhl	Gladiator Helm			13	45000	cgrn	cgrn						ama		1	2	att		150	230	ac%		60	120	pierce		20	40	dmg-pois	75	172	342	res-pois-len		80	80																									0
Arthur's Crown	0	1		1		82	80	yht	Enchanted Crown			13	45000	whit	whit						openwounds		50	50	mana-kill		10	10	demon-heal		10	10	pal		2	2	dex		25	50	freeze		3	3	dmg-mag		50	75	deadly		50	50																	0
Golem Shell	0	1		1		72	65	ylm	Guardian Helm			13	45000	oran	oran						ac%		125	150	red-mag		8	14	red-dmg		12	18	res-all		30	45																																	0
Souldrain	100	1		1		82	74	umg	vambraces			5	5000	dred	dred						ac%		90	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																													0
Servant's Leathers	0	1		1		69	63	yap	Hood			12	40000	dyel	dyel						str		10	15	dex		10	15	vit		10	15	enr		10	15	res-all		20	30	ac		48	72																									0
Dwarven Spirits	0	1		1		55	48	xdw	Dwarven Helm			11	35000	dred	dred						dmg-min		4	8	dmg-max		8	16	ac%		30	90	regen		-30	30	skilltab	14	2	4	hp%		8	24																									0
Royal Circlet	0	1		1		57	49	xrn	Grand Crown			11	35000	dgld	dgld						ac%		50	150	ease		-20	-40	str		5	15	dex		5	15	vit		5	15	enr		5	15	light		1	1	mana		25	75	ac/lvl	8															0
Gotterdammerung	0	1		1		52	44	xhm	Winged Helm			11	35000	blac	blac						ac%		100	300	str		10	20	dex		10	20	vit		10	20	enr		10	20	red-dmg		2	6	light		-1	-5																					0
The Borgov's Skull	0	1		1		49	41	xh9	Grim Helm			10	30000	dgry	dgry						lifesteal		3	7	dmg-undead		200	300	att-undead		200	300	att-und/lvl	8			gethit-skill	Nova	30	6	ac/lvl	12																											0
Larzuk's Champion	100			1								5	5000	lgry		flphmr	invhfh																																																				0
Wisp	100	1		1		84	76	rin	ring			5	5000	bwht	bwht						abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																									0
Gargoyle's Bite	100	1		1		78	70	7ts	winged harpoon			5	5000	cgrn	cgrn						dmg%		180	230	rep-quant	30			dmg-pois	250	300	300	lifesteal		9	15	charged	Plague Javelin	60	11																													0
Lacerator	100	1		1		76	68	7b8	winged axe			5	5000	blac	blac						dmg%		150	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3																					0
Knowledge	0	1		1		39	31	xkp	Sallet			9	25000	lblu	lblu						allskills			3	str/lvl	2			dex/lvl	2			enr/lvl	2			vit/lvl	2																															0
Viperfork	100	1		1		79	71	7br	war fork			5	5000	dgrn	dgrn						dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50																									0
Ethereal Edge	100	1		1		82	74	7ba	silver-edged axe			5	5000	whit	whit						dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																	0
Leoric's Rule	0	1		1		39	29	crn	Crown			9	25000	blac	blac						ac		10	30	dmg-undead		150	150	res-all		10	30	dex		10	20	hp		25	25	hp/lvl	20																											0
Raging Wolf	0	1		1		34	25	ghm	Great Helm			9	25000	dgry	dgry						ac%		35	70	bar		1	1	light		3	3	red-mag		6	12	charged	237	3	7	skill	Taunt	6	6	skill	Battle Cry	5	5	skilltab	14	1	1																	0
Spiritkeeper	100	1		1		75	67	drd	earth spirit			5	5000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2																					0
Hellrack	100	1		1		84	76	6hx	colossus crossbow			5	5000	cred			invhxbu				dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	2	charged	Immolation Arrow	150	18																									0
Alma Negra	100	1		1		85	77	pac	sacred rondache			5	5000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att%		40	75	dmg%		40	75																					0
Sparhawk's Spirit	0	1		1		34	21	eht	Spirit Crown			9	25000	whit	whit						lifesteal		5	15	manasteal		15	15	ease		-100	-100	charged	124	1	1	hit-skill	Life Tap	20	1	allskills			1																									0
Obsidian Helm	0	1		1		19	14	hlm	Helm			7	15000	whit	whit						ac		14	21	res-all		20	40	res-all-max		10	10	hp		25	25	hp/lvl	4																															0
Bloodraven's Charge	100	1		1		79	71	amb	matriarchal bow			5	5000	dgld	dgld		invswbu				dmg%		180	230	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5																													0
Ghostflame	100	1		1		70	62	7bl	legend spike			5	5000	cblu	cblu						dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2																					0
ES Helms																																																																					0
Gimmershred	100	1		1		78	70	7ta	flying axe			5	5000	lgrn							dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		30	30																									0
Baal's Eye	100	1		1		79	66	obe	Vortex Orb			13	45000	blac	blac						sor		1	3	charged	91	15	10	att-skill	Fire Ball	80	11	res-all		20	30	res-fire		15	45	red-mag		8	16	cast2		10	30																					0
Windhammer	100	1		1		76	68	7m7	ogre maul			5	5000	cblu	cblu		invmau				dmg%		180	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																	0
Wrath of Asmodeus	100	1		1		61	55	obc	Eldritch Orb			12	40000	dred	dred						skilltab	3	2	5	dmg-fire		50	150	gethit-skill	Nova	25	11	skill	Fire Mastery	1	3	abs-fire%			40	cast3		20	40	dmg-fire/lvl	40																							0
Giantmaimer	100			1								5	5000	cred	cred																																																						0
Demon's Arch	100	1		1		76	68	7s7	balrog spear			5	5000	cred	cred						dmg%		160	210	dmg-fire		232	323	lifesteal		6	12	rep-quant	30			swing2		30	30	dmg-ltng		23	333																									0
Boneflame	100	1		1		80	72	nee	succubae skull			3	5000	dred	dred						ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		2	3	res-all		20	30																													0
Steelpillar	100	1		1		77	69	7p7	war pike			3	5000								dmg%		210	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																									0
Nightwing's Veil	100	1		1		75	67	uhm	spired helm			3	5000	cblu	cblu						ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		8	15	ease		-50	-50																					0
Crown of Ages	100	1		1		86	82	urn	corona	1		3	5000	dgld	dgld						balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50	sock		1	2																	0
Orb of the Red Dragon	100	1		1		24	22	ob5	Dragon Stone			8	20000	cred	cred						skill	Hydra	4	4	skill	Fire Mastery	2	2	abs-fire%			10	gethit-skill	Nova	29	6	skill	Warmth	1	2	hp		20	40	fire-min		15	30	fire-max		30	45																	0
Darkfear	100	1		1				ulm	armet			5	5000	blac			invhlmu																																																				0
Dragonscale	100	1		1		84	80	pae	zakarum shield			3	5000	dgrn	dgrn						ac%		170	200	abs-fire%		10	20	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	10	10	extra-fire		15	15																					0
Steel Carapice	100	1		1		74	66	uul	shadow plate			3	5000	dgry	dgry						ac%		190	220	balance2		20	20	red-dmg		9	14	res-cold		40	60	regen-mana		10	15	rep-dur	5			gethit-skill	Iron Maiden	8	6																					0
Medusa's Gaze	100	1		1		84	76	uow	aegis			3	5000	lred	lred		invtowu				ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		5	9	death-skill	Nova	100	44	res-cold		40	80																									0
Ravenlore	100	1		1		82	74	dre	sky spirit			3	5000	dgld	dgld						ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																									0
Boneshade	100	1		1		84	79	7bw	lich wand			3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3																					0
Nethercrow	100			1								3	5000	cblu	cblu																																																						0
Flamebellow	100	1		1		79	71	7gs	balrog blade			3	5000	cred	cred		invgisu				dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18																	0
Raja's Majesty	100	1		1		72	63	7lw	Feral Claws			13	45000	oran	oran						dmg%		150	250	deadly		10	35	dmg-min		10	30	dmg-max		30	60	lifesteal		5	9	manasteal		5	9	mag%		25	75	gold%		100	300	skill	Tiger Strike	3	6													0
Wolfhowl	100	1		1		85	79	bac	fury visor			3	5000	cred	cred						ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	3	6	oskill	Feral Rage	3	6													0
Spirit Ward	100	1		1		76	68	uts	ward			3	5000	dblu	dblu		invgtsu				ac%		130	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		25	25	gethit-skill	Fade	5	8																									0
Excalibria	100	1		1		57	51	7wb	Wrist Sword			11	35000	bwht	bwht						dmg%		150	250	hp		25	75	mana		25	75	dmg-norm		25	50	move1		10	20																													0
Ormus' Robes	100	1		1		83	75	uui	dusk shroud			3	5000	blac	blac						ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60																					0
Solistus' Masamune Edge	100	1		1		62	58	9nn	Wakizashi			12	40000	dblu	dblu						dmg%		50	180	att%		40	60	str		10	30	dex		10	30	dmg-ltng		64	128	dmg-cold	400	40	80	dmg-fire		48	96	lifesteal		3	9	mana		25	50	mag%		45	65									0
Stormlash	100	1		1		86	82	7fl	scourge	1		3	5000	dgry	dgry						dmg%		240	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		33	33	abs-ltng		3	9																	0
Halaberd's Reign	100	1		1		85	77	bae	conqueror crown			3	5000								ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	regen		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	2																					0
Warriv's Warder	100			1								3	5000																																																								0
Spike Thorn	100	1		1		78	70	upk	blade barrier			5	5000	dyel	dyel		invspku				ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		15	20	sock		1	1																									0
Dracul's Grasp	100	1		1		84	76	uvg	vampirebone gloves			5	5000	dred	dred						ac%		90	120	lifesteal		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																									0
Frostwind	100	1		1		78	70	7ls	cryptic sword			5	5000	cblu	cblu		invlsdu				dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																					0
Templar's Might	100	1		8		82	74	uar	sacred armor			5	5000	cgrn	cgrn		invaaru				ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		10	15	vit		10	15	skilltab	10	1	2																					0
Eschuta's temper	100	1		1		80	72	obc	eldritch orb			5	5000	cred							sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																													0
Firelizard's Talons	100	1		1		75	67	7lw	feral claws			5	5000								dmg%		200	270	swing2		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Inferno Sentry	1	2																					0
Sandstorm Trek	100	1		1		72	64	uvb	scarabshell boots			5	5000								ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	rep-dur	5			str		10	15	vit		10	15													0
Marrowwalk	100	1		1		74	66	umb	boneweave boots			5	5000	dgry							ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2									0
Soulsear	100	1		1		15	13	ces	Cestus			7	15000	cblu	cblu						manasteal		10	80	swing2		20	40	dmg%		50	75	hit-skill	Ice Bolt	30	5	dmg-mag		10	20																													0
Merman's Speed	100																																																																				0
Arachnid Mesh	100	1		1		87	80	ulc	spiderweb sash			5	5000	blac	blac						ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																									0
Nosferatu's Coil	100	1		1		68	51	uvc	vampirefang belt			5	5000								str		15	15	mana-kill		2	2	slow		10	10	lifesteal		5	7	swing2		10	10	light		-3	-3																									0
ES Assassin Claws																																																																					0
Verdugo's Hearty Cord	100	1		1		71	63	umc	mithril coil			5	5000	blac	blac						ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	regen		10	13																									0
Sigurd's Staunch	100			1								5	5000																																																								0
Carrion Wind	100	1		3		68	60	rin	ring			3	5000								ac-miss		100	160	lifesteal		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10																					0
Giantskull	100	1		1		73	65	uh9	bone visage			3	5000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		10	10	sock		1	2	knock		1	1																													0
Ironward	100	1		1		68	60	7ws	caduceus			3	5000	blac	blac						dmg%		240	290	slow		25	25	att%		150	200	swing2		10	10	dmg-mag		80	240	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		33	33													0
Annihilus	100	1		1		110	70	cm1	charm		1	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																	0
Arioc's Needle	100	1		1		85	81	7sr	hyperion spear			3	5000								dmg%		180	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																									0
Cranebeak	100	1		1		71	63	7mp	war spike			3	5000	dgry			invmpiu				dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	charged	Raven	15	8																									0
Nord's Tenderizer	100	1		1		76	68	7cl	truncheon			3	5000				invclbu				dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																					0
Earthshifter	100	1		1		77	69	7gm	thunder maul			3	5000								dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10																					0
Gaashtak	0	1		1		37	28	gic	Giantstring Crossbow			9	25000	lpur	lpur						dmg%		90	180	ama		2	2	res-all		15	30	magicarrow		1	1	att		100	200	regen		10	20	swing2		30	50	dmg/lvl	8			att/lvl	8															0
Bonehew	100	1		1		72	64	7o7	ogre axe			3	5000	bwht	bwht						dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	2																									0
Ondal's Wisdom	100	1		1		74	66	6cs	elder staff			3	5000				invcstu				cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																									0
The Reedeemer	100	1		1		80	72	7sc	mighty scepter			3	5000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120													0
Headhunter's Glory	100	1		1		83	75	ush	troll nest			3	5000				invbshu				ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7																									0
Steelrend	100	1		1		78	70	uhg	ogre gauntlets			3	5000								ac		170	210	str		15	20	dmg%		30	60	crush		10	10																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	Blizzard	100	37																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	Meteor	100	31																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23																																	0
ES Uniques																																																																					0
ES Charms																																																																					0
The Perfect Cell	100	1		1		1	40	cm1	small charm		1	6	10000	cgrn	cgrn		invch7				regen		5	10	regen-mana		6	12	regen-stam		7	14	lifesteal		2	5	manasteal		2	5																													0
Yello Jello	100	1		1		1	40	cm2	large charm		1	6	10000	lyel	lyel		invch8				swing1		5	10	ltng-min		12	24	ltng-max		48	72	light-thorns		15	30	stam		15	45	res-all		5	10																									0
Lothar's Will	100	1		1		1	40	cm3	grand charm		1	6	10000	cblu	cblu		invch9				mana%		6	12	cast1		6	12	dmg-to-mana		6	12	allskills		1	1																																	0
Deviant Cell	100	1		1		1	40	dev	odd charm		1	6	10000	blac			invdev				str/time	2	1	30	dmg/time	2	1	40	mag%/time	2	1	100	ac/time	2	1	200	vit/time	2	1	30	allskills		2	2	regen		-15	-15																					0
ES Rings																																																																					0
Fallen Star	0	1		6		10	5	rn2	ring			7	15000	dblu	dblu						mana		15	15	hp		15	15	mag%		25	25	red-mag		1	3	res-all		10	10	res-pois		-10	-10	light-thorns		15	25																					0
Dragon Eye	0	1		5		20	10	rin	ring			8	20000	lred	lred						att-skill	Fire Ball	5	7	hit-skill	Lightning	5	8	gethit-skill	Frost Nova	5	6	regen		5	8	red-mag		1	2																													0
Ring of Vengeance	0	1		4		30	20	rn2	ring			9	25000	dgry	dgry						att%		15	15	dmg%		15	15	hp		30	30	dmg%/time	3	1	15	thorns		50	50																													0
