index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Optic Amulet	Diablo's End	amu	Amulet	7	20	20	cred	whit	invamu6					6	5000	2	mana%		15	20	res-ltng		40	40	light		4	4																									abs-ltng%		20	20	res-ltng-max		10	10	red-dmg		6	6	red-mag		6	6	allskills		1	1	all-stats		10	10																	0
Armor of Gloom	Diablo's End	ful	Full Plate Mail	7	20	20	cred	cred						6	5000	2	ease		-100	-100	ac		60	60	light		-2	-2																									ac		60	60	ac/lvl	24			thorns		50	50	thorns/lvl	40			red-dmg		2	2	ac/lvl	24																			0
Stormshield	Diablo's End	tow	Tower Shield	7	20	20	cred	dgld	invtows					6	5000	2	str		20	20	indestruct		1	1	red-dmg%		15	15	block1		10	10																					ac%		100	100	ac/lvl	16			ac		40	40	ac/lvl	16			block1		10	10	balance2		20	20																	0
Tharn's Ward	Planet's Veneration	xlm	Casque	7	30	35	oran	oran						6	5000	2	red-dmg		10	10	red-mag		10	10	ac%		100	100																									red-dmg		8	8	red-mag		8	8	red-dmg		7	7	red-mag		7	7	abs-cold%		15	15	abs-fire%		15	15	abs-ltng%		15	15	res-all		40	40	ac		20	20	ac/lvl	8			0
Kelster's Kite	Planet's Veneration	xit	Dragon Shield	7	30	35	oran	oran						6	5000	2	block		20	20	red-dmg%		10	10	skill	Holy Shield	3	3																									block1		20	20	balance2		20	20	ac		40	40	ac/lvl	24			res-mag		40	40					indestruct		1	1					thorns		100	100	thorns/lvl	16			0
Bard's Graceful Hand	Planet's Veneration	xlg	Demonhide Gloves	7	30	35	oran	oran						6	5000	2	dex		20	20	swing1		20	20	ac%		80	80																									dex		10	10	dex/lvl	2			swing1		20	20	att%		20	20	dex		15	15	swing2		20	20	dex		15	15	swing1		15	15	deadly		20	20					0
The Acolyte's Spirit	Planet's Veneration	rn2	Ring	7	30	35	oran	oran						6	5000	2	lifesteal		3	3	manasteal		3	3																													lifesteal		4	4	manasteal		4	4	vit		10	10	enr		10	10	lifesteal		5	5	manasteal		5	5	vit		15	15	enr		15	15	allskills		1	1					0
Root's Banded Restraint	Planet's Veneration	zlb	Demonhide Sash	7	30	35	oran	oran						6	5000	2	str		15	15	dmg%		15	15	ac/lvl	12																											str		15	15	dmg%		15	15	str		20	20	dmg%		20	20	str		20	20	dmg%		20	20	str		20	20	dmg%		20	20	str		20	20	dmg%		20	20	0
Wanderer's Waltz	Planet's Veneration	tbt	Light Plate Boots	7	30	35	oran	oran						6	5000	2	move2		20	20	stam		50	50	ac		20	20																									move2		20	20	dex		10	10	regen-stam		50	50	stamdrain		50	50	stam		50	50	ac/lvl	8			dex		15	15	move2		15	15	allskills		1	1	aura	Vigor	1	1	0
Band of War	Waves of Ascension	au2	Amulet	6	40	45	blac	blac	invamu4					7	7500	2	hit-skill	Amplify Damage	10	9	swing3		30	30	str		15	15	vit		15	15																					dmg%		25	25	ac%		25	25	att%		30	30	swing3		30	30	deadly		50	50	openwounds		25	25																	0
Band of Death	Waves of Ascension	rn2	Ring	6	40	45	blac	blac	invrin4					7	7500	2	hit-skill	Bone Spirit	10	9	charged	Revive	20	20	oskill	IronGolem	1	20	enr		15	15																					oskill	Skeleton Mastery	5	5	skill	Skeleton Mastery	5	5	mana-kill		10	10	heal-kill		10	10	crush		30	30	freeze		3	3																	0
Band of Famine	Waves of Ascension	zmb	Mesh Belt	7	40	45	blac	blac	invmbl					7	7500	2	hit-skill	Decrepify	10	9	noheal		1	1	stam		50	50	regen		15	15																					mana-kill		10	10	heal-kill		10	10	gold%		100	100	mag%		50	50	lifesteal		9	9	manasteal		9	9																	0
Band of Pestilence	Waves of Ascension	rin	Ring	5	40	45	blac	blac	invrin6					7	7500	2	hit-skill	Twister	10	9	dmg-pois	250	256	512	dmg-pois/lvl	16			res-pois-len		100	100																					openwounds		100	100	res-pois-max		20	20	thorns		100	100	thorns/lvl	32			gethit-skill	Twister	10	12	death-skill	Twister	100	50																	0
Tasselhoff's Hoopak	Tasselhoff's Traveling Gear	1ss	Elder Cane	7	50	60	cgrn	cgrn						8	10000	2	sock	3	3	3	vit		35	35	enr		35	35	dmg%		700	700	att-skill	Lightning	100	30																	mag%		75	75	gold%		150	150	crush		100	100	ignore-ac		1	1																									0
Tasselhoff's Pouches	Tasselhoff's Traveling Gear	bmb	Merchant's Belt	7	50	60	cgrn	cgrn						8	10000	2	sock	2	2	2	mag%		100	100	gold%		150	150	ease		-100	-100	charged	Meteor	20	6	charged	Confuse	18	6	charged	Fade	10	7									str		25	25	dex		25	25	mag%		50	50	gold%		100	100																									0
Tasselhoff's Breaches	Tasselhoff's Traveling Gear	ymb	Sepulcher Boots	7	50	60	cgrn	cgrn						8	10000	2	sock	2	2	2	move3		40	40	gold%		200	200	ac%		125	125	ease		-25	-25																	red-dmg		25	25	red-mag		20	20	mag%		200	200	gold%		100	100																									0
Amazon Sets (ES)																																																																																													0
Arctic Horn-Ama	Arctic Gear-Ama	hbw	Hunter's Bow	7	4	1	cblu	lblu						5	2500	2	att%		20	20	dmg-norm		2	6	dmg-cold	100	10	15																									att/lvl	10			dmg/lvl	8			dmg-cold	100	10	15	dmg-cold/lvl	8																											0
Arctic Mitts-Ama	Arctic Gear-Ama	vgl	Leather Gloves	7	4	1	cblu	lblu						5	2500	2	hp		20	20	swing1		20	20	ac		10	10																									att		50	50	hp/lvl	8			dex		10	10	dex/lvl	2																											0
Arctic Binding-Ama	Arctic Gear-Ama	vbl	Light Belt	7	4	1	cblu	lblu						5	2500	2	res-cold		40	40	ac		30	30	gethit-skill	Frost Nova	3	1																									mag%		40	40	ama		1	1	abs-cold%		20	20	ac/lvl	8																											0
Gabrielle's Pointed Staff	Gabrielle's Innocence	am3	Maiden Spear	7	15	16	dyel	dyel						6	5000	2	dmg%		100	100	swing2		30	30	vit		15	15	enr		15	15	ease		-50	-50																	ac%		50	50	dmg%		50	50	ac/lvl	16			dmg/lvl	12																											0
Gabrielle's Defense	Gabrielle's Innocence	hla	Hard Leather Armor	7	15	16	dyel	dyel						6	5000	2	ac		72	72	red-dmg%		20	20	res-pois-len		60	60	res-all		10	10																					ac		72	72	ac/lvl	24			res-all		10	10	red-mag		8	8																									0
Gabrielle's Shoes	Gabrielle's Innocence	vbt	Heavy Boots	6	15	16	dyel	dyel						6	5000	2	move1		15	15	stam		35	35	str		10	10	dex		15	15																					move1		10	10	dex		10	10	regen-stam		50	50	vit		10	10																									0
Lixo's Flight	Lixo's Feathers	xap	War Hat	6	30	30	cred	cred						6	5000	2	dex		30	30	ac		50	50	att%		15	15	att/lvl	4																							res-all		15	15	red-dmg		5	5	res-all		15	15	red-mag		5	5	all-stats		8	8	ac/lvl	8																			0
Lixo's Harp	Lixo's Feathers	8lw	Long War Bow	7	30	30	cred	cred						6	5000	2	dmg%		100	100	dmg/lvl	16			swing2		20	20																									dmg%		100	100	red-dmg%		10	10	dmg-ltng		1	200	abs-ltng%		10	10	swing2		20	20	dmg-min		15	15																	0
Lixo's Coat	Lixo's Feathers	xla	Demonhide Armor	7	30	30	cred	cred	invxla					6	5000	2	ac		200	200	sock	2	2	2	move1		15	15																									skill	Dodge	2	2	ac/lvl	24			skill	Avoid	2	2	ac/lvl	24			skill	Evade	2	2	ac/lvl	24																			0
Lixo's Jewel	Lixo's Feathers	rin	Ring	6	30	30	cred	cred						6	5000	2	lifesteal		4	4	manasteal		4	4	res-pois-len		50	50																									cast1		15	15	mana%		15	15	swing1		15	15	hp%		15	15	balance1		15	15	move1		15	15																	0
Aanna's Touch	Aanna's Battle Dress	9p9	Lance	7	40	45	lyel	lyel						7	7500	2	rep-dur	100	100	100	dmg%		100	100	dmg/lvl	16																											swing3		30	30	dmg/lvl	16			crush		15	15	dmg/lvl	16			freeze		4	4	hit-skill	Frozen Orb	3	30																	0
Aanna's Dress	Aanna's Battle Dress	xlt	Templar Coat	7	40	45	lyel	lyel	invful					7	7500	2	ac%		150	150	skill	Evade	2	2	res-all		30	30																									ac%		50	50	ac/lvl	20			red-dmg		10	10	hp%		10	10	red-mag		10	10	mana%		10	10																	0
Aanna's Skill	Aanna's Battle Dress	xtg	Battle Gauntlets	7	40	45	lyel	lyel						7	7500	2	str		25	25	dex		25	25	ac%		50	50																									swing1		20	20	str		20	20	swing1		25	25	dex		20	20	swing1		30	30	dmg%		30	30																	0
Aanna's March	Aanna's Battle Dress	xtb	Battle Boots	7	40	45	lyel	lyel						7	7500	2	move2		20	20	stam		150	150	ac%		25	25																									move2		20	20	ac/lvl	2			ac%		75	75	regen-stam		25	25	dmg-min		15	15	dmg-max		10	10																	0
Alaziel's Point	Alaziel's Abstraction	ama	Ceremonial Javelin	7	50	60	cred	cred						7	7500	2	dmg-fire		500	750	sock	3	3	3	rep-quant	100																											dex		30	30	skilltab	2	3	3	dmg%		175	175	dmg-fire/lvl	40			skill	Lightning Bolt	2	2	skill	Lightning Fury	1	1																	0
Alaziel's Protector	Alaziel's Abstraction	xlv	Drow Adamantium Chain	7	50	60	cred	cred						7	7500	2	ac%		250	250	res-all		10	10	rep-dur	25																											skill	Dodge	4	4	ac/lvl	12			skill	Avoid	4	4	abs-fire%		10	10	skill	Evade	4	4	abs-fire%		10	10																	0
Alaziel's Buckler	Alaziel's Abstraction	yml	Desert Shield	7	50	60	cred	cred						7	7500	2	ac		100	100	block3		40	40	block		15	15																									red-dmg		6	6	hp/lvl	4			red-mag		6	6	mana/lvl	4			red-dmg		12	12	red-mag		12	12																	0
Alaziel's Grip	Alaziel's Abstraction	ymg	Sepulcher Gloves	7	50	60	cred	cred						7	7500	2	dmg%		20	20	att%		20	20	ease		-20	-20																									swing2		20	20	dex		15	15	swing2		25	25	str		15	15	ac%		100	100	vit		10	10																	0
Noir's Anticipation	Noir's Tranquility	yht	Enchanted Crown	7	60	60	blac	lgry						8	10000	2	ac%		100	100	att%		45	45	light		5	5																									crush		15	15	skill	Pierce	2	2	skilltab	0	1	1	balance3		30	30	swing3		30	30	cast3		30	30																	0
Noir's Focus	Noir's Tranquility	9pb	Tuigan Bow	7	60	60	blac	blac						8	10000	2	dmg%		100	100	sock	2	2	2	ama		2	2																									dmg%		100	100	dmg/lvl	8			dmg%		100	100	skill	Freezing Arrow	5	5	dmg%		200	200	skill	Guided Arrow	5	5																	0
Noir's Tenacity	Noir's Tranquility	xig	Imperial Guards	7	60	60	blac	blac						8	10000	2	ac%		100	100	sock	1	1	1	ease		-40	-40																									reduce-ac		25	25	dmg%		25	25	dex		25	25	magicarrow		1	1	heal-kill		8	8	mana-kill		4	4																	0
Noir's Stride	Noir's Tranquility	xhb	War Boots	7	60	60	blac	blac						8	10000	2	ac%		100	100	sock	1	1	1	ease		-40	-40																									move3		30	30	balance2		20	20	move1		10	10	swing2		20	20	stam		30	30	stamdrain		35	35																	0
Milea's Crown	Milea's Majesty	ci2	Tiara	7	60	75	cgrn	cgrn						8	10000	2	sock	2	2	2	ac		30	30	res-all		15	15																									mana		100	100	manasteal		9	9	hp		100	100	lifesteal		9	9																									0
Milea's Maim	Milea's Majesty	amd	Matriarchal Spear	7	60	75	cgrn	cgrn						8	10000	2	sock	5	5	5	indestruct		1	1	crush		25	25																									swing3		40	40	dmg%		125	125	swing3		40	40	dmg%		125	125																									0
Milea's Mail	Milea's Majesty	yng	Heavy Mail	7	60	75	cgrn	cgrn						8	10000	2	sock	3	3	3	ease		-60	-60	red-dmg%		15	15																									ac%		200	200	move3		30	30	regen		15	15	regen-mana		45	45																									0
Assassin Sets (ES)																																																																																													0
Death's Touch-Ass	Death's Disguise-Ass	ktr	Katar	7	4	1	lred	dred						5	2500	2	lifesteal		5	5	dmg-norm		6	10	dmg-cold	100	6	12																									crush		20	20	manasteal		5	5	freeze		1	1	dmg-cold/lvl	16																											0
Death's Hand-Ass	Death's Disguise-Ass	lgl	Leather Gloves	7	4	1	lred	lred						5	2500	2	swing1		15	15	dmg-cold	100	1	4	res-pois-len		50	50																									ass		1	1	res-pois		30	30	manasteal		3	3	mana/lvl	4																											0
Death's Guard-Ass	Death's Disguise-Ass	lbl	Sash	7	4	1	lred	lred						5	2500	2	red-dmg		2	2	nofreeze		1	1	red-mag		1	1																									regen		10	10	regen-mana		30	30	res-all		8	8	ac/lvl	4																											0
Vega's Beauty	Vega's Elegance	eht	Spirit Crown	7	15	16	cblu	lblu	invvega					6	5000	2	lifesteal		5	5	vit		15	15	ac		15	15																									gethit-skill	Charged Bolt	15	12	hit-skill	Charged Bolt	5	12	hp		25	25	hp/lvl	8			lifesteal		3	3	vit		10	10																	0
Grace	Vega's Elegance	clw	Claws	7	15	16	lyel	lyel						6	5000	2	openwounds		50	50	skill	Claw Mastery	2	2	att		75	75																									dmg%		100	100	swing3		60	60	deadly		50	50	dmg%		100	100	dmg/lvl	12			att/lvl	6																			0
Power	Vega's Elegance	btl	Blade Talons	7	15	16	lyel	lyel						6	5000	2	crush		50	50	skill	Claw Mastery	1	1	dmg%		125	125																									dmg/lvl	12			att/lvl	16			swing3		30	30	att		100	100	att/lvl	10			dmg/lvl	4																			0
Vega's Sash	Vega's Elegance	lbl	Sash	6	15	16	cred	cred						6	5000	2	skill	Weapon Block	4	4	skill	Cloak of Shadows	2	2	move3		30	30																									dex		20	20	skill	Quickness	3	3	balance2		20	20	ac		20	20	move1		15	15	ac/lvl	8																			0
Motoko's Power	Motoko's Captivation	nin	Ninja To	7	30	30	cred	cred						6	5000	2	att-skill	Tornado	33	24	dmg%		300	300	swing3		50	50																									dmg%		150	150	att%		150	150	dmg/lvl	20			att/lvl	10																											0
Motoko's Kimono	Motoko's Captivation	clk	Cloak	6	30	30	cred		invmotoko					6	5000	2	hp%		25	25	sock	2	2	2	move3		40	40																									dex		35	35	hp/lvl	8			regen		50	50	regen-stam		50	50																									0
Motoko's Charm	Motoko's Captivation	amu	Amulet	5	30	30	cred	cred	invamu2					6	5000	2	dmg-demon		150	150	att-demon		200	200	charged	Energy Shield	10	20																									demon-heal		15	15	att-dem/lvl	16			cheap		25	25	mag%		75	75																									0
Alora's Veil	Alora's Shadow	xhl	Basinet	7	40	45	dblu	dblu						7	7500	2	sock	1	1	1	red-dmg		15	15	red-mag		15	15																									aura	Holy Freeze	1	5	abs-cold%		15	15	abs-fire%		15	15	abs-ltng%		15	15	res-cold		40	40	res-cold-max		10	10																	0
Alora's Silent Assault	Alora's Shadow	9cs	Hand Scythe	7	40	45	dblu	dblu						7	7500	2	dmg-pois	250	154	307	ignore-ac		1	1	dmg%		200	200																									hit-skill	Bone Spirit	10	7	dmg-mag		50	100	dmg-pois/lvl	16			dmg/lvl	16			freeze		3	3	crush		20	20																	0
Alora's Silhouette	Alora's Shadow	xcl	Tigulated Mail	7	40	45	dblu	dblu						7	7500	2	ac%		150	150	res-pois-len		100	100	rep-dur	10																											gethit-skill	Poison Nova	10	16	skilltab	19	1	1	ac		100	100	ac/lvl	12			res-all		15	15	dmg-min		8	8																	0
Alora's Vestige	Alora's Shadow	xmb	Mesh Boots	7	40	45	dblu	dblu						7	7500	2	move2		20	20	skilltab	20	1	1	ac		30	30																									move2		20	20	ac%		100	100	mag%		50	50	skill	Quickness	3	3	lifesteal		6	6	manasteal		6	6																	0
Sascha's Deadly Point	Sascha's Jaded Kiss	7wb	Wrist Sword	7	50	60	blac	blac						7	7500	2	dmg%		175	175	swing3		40	40	rip		1	1																									deadly		30	30	dmg/lvl	16			hit-skill	Fire Ball	15	15	att-skill	Fire Bolt	15	15	dmg-fire		75	150	dmg-fire/lvl	40																			0
Sascha's Bosom	Sascha's Jaded Kiss	yhn	Chain Shirt	7	50	60	blac	blac						7	7500	2	ease		-35	-35	ac%		200	200	vit		25	25																									red-dmg		20	20	red-mag		10	10	vit		10	10	red-mag		10	10	all-stats		10	10	res-all		10	10																	0
Sascha's Jagged Strike	Sascha's Jaded Kiss	9qr	Scissors Quhab	7	50	60	blac	blac						7	7500	2	dmg%		250	250	dmg-ac		-10	-10	openwounds		100	100																									crush		40	40	dmg/lvl	16			hit-skill	Ice Blast	15	15	att-skill	Ice Bolt	15	15	dmg-cold		50	100	dmg-cold/lvl	20																			0
Sascha's Black Slipper	Sascha's Jaded Kiss	ylb	Rogue Boots	7	50	60	blac	blac						7	7500	2	skill	Dragon Flight	4	4	move2		20	20	ac%		85	85																									enr		20	20	dex		30	30	str		25	25	vit		15	15	skill	Shadow Master	3	3	ac/lvl	4																			0
Ihsan's Gaze	Ihsan's Shade	xdw	Dwarven Helm	7	60	60	blac	blac						8	10000	2	ac%		125	125	sock	2	2	2	reduce-ac		20	20																									pierce-cold		17	17	pierce-pois		17	17	pierce-fire		17	17	pierce-ltng		17	17	freeze		4	4	att-skill	Ice Bolt	100	20																	0
Ihsan's Spine	Ihsan's Shade	xar	Ornate Armor	7	60	60	blac	blac						8	10000	2	ac%		125	125	red-dmg		20	20	red-mag		20	20																									regen		30	30	regen-mana		120	120	res-all		15	15	res-all-max		5	5	str		30	30	vit		20	20																	0
Ihsan's Clutch	Ihsan's Shade	xhg	War Gauntlets	7	60	60	blac	blac						8	10000	2	ac%		125	125	crush		15	15	hit-skill	Attract	10	1																									dmg-ac		-50	-50	noheal		1	1	lifesteal		9	9	manasteal		9	9	crush		15	15	str		30	30																	0
Ihsan's Coil	Ihsan's Shade	xms	Titan Brace	7	60	60	blac	blac						8	10000	2	ac%		125	125	balance3		50	50	ass		1	1																									mana		15	15	mana/lvl	12			block		15	15	skill	Weapon Block	2	2	cast3		50	50	block3		50	50																	0
Borik's Nightblade	Borik's Deceit	0nn	Katana	7	60	75	blac	blac						8	10000	2	dmg%		225	225	crush		40	40	ignore-ac		1	1																									freeze		3	3	crush/time	2	10	50	lifesteal		12	12	manasteal		12	12																									0
Borik's Dark Binding	Borik's Deceit	yhh	Spiked Armor	7	60	75	blac	blac						8	10000	2	ac%		175	175	sock	2	2	2	gethit-skill	Frost Nova	10	25																									str/time	2	10	75	ac/time	2	10	300	manasteal		6	6	mana-kill		12	12																									0
Borik's Black Hand	Borik's Deceit	yvg	Viper Hands	7	60	75	blac	blac						8	10000	2	ac		150	150	dmg-cold	250	25	30	noheal		1	1																									dmg-cold/time	2	10	200	dmg%/time	2	5	25	hit-skill	Twister	10	25	freeze		3	3																									0
Necromancer Sets (ES)																																																																																													0
Infernal Cranium-Nec	Infernal Tools-Nec	cap	Cap	7	4	1	lyel	lyel						5	2500	2	ac		15	15	dmg-to-mana		25	25	res-all		8	8																									cast1		10	10	ac/lvl	16			mana		15	15	mana/lvl	4																											0
Infernal Torch-Nec	Infernal Tools-Nec	wnd	Wand	7	4	1	lyel	lyel						5	2500	2	light		5	5	gethit-skill	Fire Bolt	50	3	cast1		15	15																									dmg-fire		5	10	dmg-fire/lvl	10			att-skill	Fire Ball	10	1	att/lvl	20																											0
Infernal Sign-Nec	Infernal Tools-Nec	mbl	Belt	7	4	1	lyel	lyel						5	2500	2	res-pois-len		50	50	half-freeze		1	1	ac		10	10																									nec		1	1	hp		25	25	mana		25	25	ac/lvl	8																											0
Rathol's Gaze	Rathol's Disease	msk	Mask	7	15	16	cgrn	cgrn	invbhm					6	5000	2	noheal		1	1	dmg-pois	250	31	62	pierce-pois		15	15																									enr		15	15	vit		10	10	dmg-pois	250	16	31	ignore-ac		1	1																									0
Rathol's Touch	Rathol's Disease	nsy	Wretched Scythe	7	15	16	cgrn	cgrn	invscyu					6	5000	2	nec		2	2	res-all		20	20	dmg-pois	250	61	123																									cast3		30	30	swing3		60	60	att-skill	Poison Nova	10	6	dmg-pois	250	31	62																									0
Rathol's Fear	Rathol's Disease	rng	Ring Mail	7	15	16	cgrn	cgrn						6	5000	2	sock	2	2	2	res-pois-len		100	100	dmg-pois	250	31	61																									regen		15	15	regen-mana		45	45	ac		45	45	ac/lvl	16																											0
Wrathamon's Skull	Wrathamon's Omens	bhm	Bone Helm	7	30	30	blac	blac	invxh9					6	5000	2	ac		25	25	mana-kill		6	6	heal-kill		6	6																									mana%		25	25	hp%		25	25	ac		25	25	ac/lvl	20			lifesteal		9	9	manasteal		9	9	att		95	95	att/lvl	10											0
Ebola	Wrathamon's Omens	amu	Amulet	6	30	30	blac	blac	invamu5					6	5000	2	nec		1	1	mana%		15	15	regen-mana		40	40																									cast1		15	15	mana%		15	15	cast1		15	15	mana%		15	15	nec		1	1	move2		20	20	res-all		10	10	all-stats		7	7									0
Wrathamon's Scythe of Doom	Wrathamon's Omens	syn	Dread Scythe	7	30	30	blac	blac	inv9s8u					6	5000	2	dmg%		200	200	crush		45	45	swing2		40	40																									nec		2	2					ignore-ac		1	1					dmg-undead		200	200					skilltab	8	2	2													0
Wrathamon's Cloak of Night	Wrathamon's Omens	xea	Serpentskin Armor	7	30	30	blac	blac	invclks					6	5000	2	ac%		150	150	red-dmg%		10	10	res-all		10	10																									str		25	25	vit		15	15	res-all		15	15	abs-mag%		25	25	ac		50	50	ac/lvl	40			red-dmg		12	12	red-mag		12	12									0
The Hands of Wier	Wrathamon's Omens	xlg	Demonhide Gloves	6	30	30	blac	blac						6	5000	2	dmg-cold	200	25	50	dmg-ac		-10	-10	swing1		15	15																									swing1		15	15	str		15	15	dmg-cold	100	10	20	dmg-cold/lvl	40			swing1		15	15	str		15	15	freeze		2	2	att/lvl	10											0
The Lich's Pate	The Lich's Form	xsk	Death Mask	7	40	45	cblu	dblu						7	7500	2	nec		1	1	cast1		15	15	mana		50	50																									regen		15	15	regen-mana		45	45	cast1		15	15	skilltab	6	1	1	ac		40	40	ac/lvl	8			mana%		20	20	hp%		20	20									0
The Lich's Curse	The Lich's Form	9yw	Petrified Wand	7	40	45	cblu	dblu						7	7500	2	nec		1	1	cast2		20	20	skilltab	6	2	2																									cast1		10	10	res-pois-len		50	50	ignore-ac		1	1	hit-skill	Poison Nova	75	25	pierce-pois		25	25					extra-pois		15	15	att-skill	Teeth	15	25									0
The Lich's Cage	The Lich's Form	xrs	Cuirass	7	40	45	cblu	dblu						7	7500	2	ac%		150	150	ease		-40	-40	balance3		30	30																									ac		75	75	ac/lvl	24			red-dmg		12	12	red-mag		8	8	str		15	15	vit		15	15	res-pois-len		85	85	res-all		15	15									0
The Lich's Clutch	The Lich's Form	xmg	Heavy Bracers	7	40	45	cblu	dblu	invxgl					7	7500	2	ac		30	30	ease		-30	-30	regen-mana		30	30																									ac		25	25	ac/lvl	16			cast1		15	15	swing1		15	15	res-mag		25	25	indestruct		1	1	att-skill	Bone Spirit	10	10	regen-mana		30	30									0
The Lich's Sole	The Lich's Form	hbt	Plate Boots	7	40	45	cblu	dblu						7	7500	2	move2		20	20	ease		-30	-30	ac%		45	45																									ac		10	10	ac/lvl	16			move2		20	20	regen-stam		50	50	mana-kill		10	10	heal-kill		10	10	hp/lvl		4		mana/lvl	4											0
Nupraptor's Skull	Nupraptor's Keep	xh9	Grim Helm	7	50	60	blac	dgry						7	7500	2	ac%		150	150	ease		-50	-50	cast1		15	15																									regen		25	25	regen-mana		75	75	hp/lvl	6			mana/lvl	16																											0
Nupraptor's Eradicator	Nupraptor's Keep	9rd	Sacrificial Dagger	7	50	60	blac	blac						7	7500	2	dmg%		500	500	swing3		50	50	skill	Poison Dagger	15	15																									ignore-ac		1	1	skill	Bone Armor	15	15	pierce-pois		50	50	skilltab	8	2	2																									0
Nupraptor's Servant	Nupraptor's Keep	nea	Heirophant Trophy	7	50	60	blac	blac	invne5					7	7500	2	ac%		65	65	indestruct		1	1	sock	2	2	2																									gethit-skill	Bone Spirit	10	20	abs-mag%		50	50	addxp		10	10	res-pois-len		100	100																									0
Lim-Dul's Hex	Lim-Dul's Legion	9gw	Grave Wand	7	60	60	blac	blac						8	10000	2	nec		2	2	skilltab	6	2	2																													skill	Lower Resist	2	2	skill	Iron Maiden	2	2	cast3		30	30					kill-skill	Corpse Explosion	25	10	kill-skill	Poison Explosion	25	10																	0
Lim-Dul's High Guardian	Lim-Dul's Legion	neb	Minion Skull	7	60	60	blac	blac						8	10000	2	cast3		30	30	block		50	50	res-all		20	20																									dmg-to-mana		50	50	res-pois-len		50	50	ac%		200	200	res-mag		20	20	red-mag		15	15	red-dmg%		15	15																	0
Lim-Dul's Vault	Lim-Dul's Legion	alb	Hemp Band	7	60	60	blac	blac						8	10000	2	mana		25	25	mana/lvl	8			regen-mana		50	50																									regen-mana		50	50	mana%		10	10	regen-mana		50	50	mana%		10	10	regen-mana		50	50	nec		1	1																	0
Lim-Dul's Oath	Lim-Dul's Legion	xbt	Mystile Boots	7	60	60	blac	blac						8	10000	2	skill	Raise Skeleton	6	6	skill	Raise Skeletal Mage	6	6	skill	IronGolem	6	6	ease		-50	-50																					cheap		10	10					ac		50	50	ac/lvl	4			addxp		10	10																					0
Angel of Death	Ordnance of the Dark Brotherhood	yh9	Demon Skull	7	60	75	blac	blac						8	10000	2	ac%		300	300	gethit-skill	Frost Nova	10	25	abs-cold%		15	15	ease		-50	-50																					pierce-cold		15	15	aura	Holy Freeze	10	10	gethit-skill	Bone Armor	50	14	pierce-fire		15	15																									0
Angel of Chaos	Ordnance of the Dark Brotherhood	yla	Demon Carapace	7	60	75	blac		invflesh					8	10000	2	ac%		200	200	ease		-34	-34	abs-ltng%		15	15																									pierce-ltng		15	15	red-dmg%		25	25					gethit-skill	Fist of the Heavens	10	20																									0
Angel of Annihilation	Ordnance of the Dark Brotherhood	0sy	Soul Destroyer	7	60	75	blac	blac						8	10000	2	swing3		50	50	abs-mag%		15	15	abs-fire%		15	15	ignore-ac		1	1	ease		-40	-40																	ac%		500	500	dmg%		500	500	oskill	Thunder Storm	30	30	oskill	Meteor	30	30																									0
Barbarian Sets (ES)																																																					pierce-fire		15	15																																					0
Berserker's Headgear-Bar	Berserker's Garb-Bar	hlm	Helm	7	4	1	cred	dred						5	2500	2	ac		15	15	res-fire		15	15	hp		15	15																									str		10	10	att/lvl	8			ac		10	10	ac/lvl	8																											0
Berserker's Hatchet-Bar	Berserker's Garb-Bar	hax	Hand Axe	7	4	1	cred	dred						5	2500	2	dmg%		50	50	manasteal		5	5	att%		30	30																									bar		1	1	lifesteal		5	5	dmg%		50	50	dmg/lvl	12																											0
Berserker's Hauberk-Bar	Berserker's Garb-Bar	lea	Leather Armor	7	4	1	cred	dred						5	2500	2	red-mag		2	2	red-dmg		4	4	vit		8	8																									ac		15	15	ac/lvl	12			res-all		10	10	hp		20	20																									0
Messerschmidt's Reaver	Messerschmidt's Rule	btx	Battle Axe	7	15	16	cred	cred	invbtxs					6	5000	2	dmg%		100	100	dmg-fire		15	30	hit-skill	Amplify Damage	10	1																									dmg/lvl	12			dmg-fire/lvl	16			dmg%		100	100	swing2		20	20																									0
Messerschmidt's Burning Palm	Messerschmidt's Rule	mgl	Chain Gloves	6	15	16	cred	cred						6	5000	2	dmg-fire		10	20	att		50	50	hit-skill	Fire Bolt	15	8																									dmg-fire/lvl	8			att/lvl	10			res-fire		40	40	res-fire-max		10	10																									0
Messerschmidt's Brace	Messerschmidt's Rule	tbl	Heavy Belt	7	15	16	cred	cred						6	5000	2	str		10	10	vit		15	15	ac/lvl	8																											str		10	10	vit		10	10	str		10	10	vit		10	10																									0
