skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Bone Spear	80	nec	bone spear											bonespear																																																															necromancer_bone_cast														19					bonespear			bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast			16	30					Bone Armor								1						1	6	28	1	1																																50	damage synergy	16								6															cold	64	32	48	64	80	96	96	32	48	64	80	96	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8/16	50	10	10	10					500
Attract	81	nec	attract	18	59																2		attract	ln34+((skill('Confuse'.blvl)+skill('Terror'.blvl)+skill('Decrepify'.blvl))*par8)	ln12+((skill('Confuse'.blvl)+skill('Terror'.blvl)+skill('Decrepify'.blvl))*par7)																																																				necromancer_curse_cast														18	30					curseattract		cursecast										1	0		none												SC	SC	xx					4			1									1									16	30																			1	8	17	0	1																		9	radius	0	radius per level	300	duration	90	additional duration/level					1	radius synergy	25	duration synergy	16								8																																					500
Corpse Explosion	82	nec	corpse explosion	17	55																				ln34+((skill('Amplify Damage'.blvl)/3+skill('Iron Maiden'.blvl)/3+skill('Lower Resist'.blvl)/3)*par7)																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast			24	25					Poison Explosion														1	7	30	5	1										par1+((skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl)+skill('FireGolem'.blvl)+skill('Bone Spirit'.blvl))*par8)	% target hp min damage	par2+((skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl)+skill('FireGolem'.blvl)+skill('Bone Spirit'.blvl))*par8)	% target hp max damage	par5	% damage to do as elemental			60	% of base monster HP min damage	100	% of base monster HP max damage	8	radius (half squares)	1	additional radius/level (half squares)	50	% damage to do as elemental	45	damage synergy	1	radius synergy	1	min % corpse dmg synergy	24								8															fire	40	40	60	80	120	160	60	40	60	80	120	160	(skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl)+skill('FireGolem'.blvl)+skill('Bone Spirit'.blvl))*par6/16									500
BloodGolem	83	nec	bloodgolem		56																																	domeleedamage	23	damagedinmelee	26	damagedbymissile	26					velocitypercent	skill('Golem Mastery'.dm34)	normal_damage_reduction	(lvl+skill('Clay Golem'.blvl)+skill('IronGolem'.blvl)+skill('FireGolem'.blvl))*skill('Clay Golem'.par7)	damagepercent	par4 * (lvl - 1) + (skill('Clay Golem'.blvl)+skill('IronGolem'.blvl)+skill('FireGolem'.blvl)*skill('FireGolem'.par8))	armorclass	(skill('Clay Golem'.blvl)+skill('IronGolem'.blvl)+skill('FireGolem'.blvl))*skill('IronGolem'.par8)	hpregen	(skill('Clay Golem'.blvl)+skill('IronGolem'.blvl)+skill('FireGolem'.blvl))*par8			BloodGolem	bloodgolem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	xx					4																					24	25					Clay Golem														1	8	25	3	1	1									skill('Golem Mastery'.ln12)	hp % adjustment							75	min % life stolen	150	max % life stolen	30	% stolen life xfer to caster	35	%additional golem damage per level	10	% damage on golem xfered to caster	50	% caster healing xfered to golem			2	golem regen synergy	24			60+(lvl*skill('Clay Golem'.par8))+skill('Golem Mastery'.ln56)					8																																					500
Decrepify	84	nec	decrepify		30																3		decrepify	ln34+((skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Lower Resist'.blvl))*par8)	ln12+((skill('Amplify Damage'.blvl)/10+skill('Weaken'.blvl)/10+skill('Lower Resist'.blvl)/10)*par7)	velocitypercent	par5+((skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Lower Resist'.blvl))*par6)	damagepercent	par5+((skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Lower Resist'.blvl))*par6)	damageresist	par5+((skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Lower Resist'.blvl))*par6)	attackrate	par5+((skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Lower Resist'.blvl))*par6)																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast			24	25					Dim Vision	Iron Maiden													1	8	11	0	1																		6	radius	0	radius per level	100	duration	15	additional duration/level	-50	"% slowed, -dam, -dam resist"	-1	"neg. slow, dmg, and resist synergy"	1	radius synergy	25	duration synergy	24								8																																					500
Bone Prison	85	nec	bone prison	19	62																																																							bonewall	none		NU														necromancer_bone_cast														22																		1	10		none												SC	SC	xx					4			1									1				1		necromancer_bone_cast			24	25					Bone Wall							75							1	7	27	-3	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8)	hp % adjustment							25	% additional HP per level	600	MAX duration											8	life synergy	24								8																																					500
Life Tap	86	nec	life tap		30																3		lifetap	ln34+((skill('Amplify Damage'.blvl)+skill('Iron Maiden'.blvl)+skill('Decrepify'.blvl))*par8)	ln12													damagedinmelee	5																																						necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast			32	20					Iron Maiden														1	8	9	0	1										ln56+((skill('Amplify Damage'.blvl)+skill('Iron Maiden'.blvl)+skill('Decrepify'.blvl)+skill('BloodGolem'.blvl))*par7)	hp % returned							4	radius	1	radius per level	400	duration	60	additional duration/level	50	% damage healed	0	% additional heal/level	2	heal synergy	25	duration synergy	32								8																																					500
Summon Resist	87	nec	summon resist																																											summonresist		passive_summon_resist	dm12																																																												1	6		none												SC	SC	xx																										32	20					Golem Mastery								1						1	8	44	-3	1						1												20	min % resist	75	max % resist									1	min% resist synergy	2	max% resist synergy	32								8																																					500
IronGolem	88	nec	irongolem	20	57																	thorns				thorns_percent	ln12+((skill('Clay Golem'.blvl)+skill('Golem Mastery'.blvl)+skill('BloodGolem'.blvl)+skill('FireGolem'.blvl))*par7)	fade	16	item_healafterkill	ln34																	velocitypercent	skill('Golem Mastery'.dm34)	normal_damage_reduction	(lvl+skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('FireGolem'.blvl))*skill('Clay Golem'.par7)	damagepercent	((skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('FireGolem'.blvl))*skill('FireGolem'.par8))	armorclass	(lvl+skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('FireGolem'.blvl))*par8	hpregen	(skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('FireGolem'.blvl))*skill('BloodGolem'.par8)			IronGolem	bonegolem	1	S1													1															23																		1	5		none												SC	SC	xx					4			1						1												32	20					BloodGolem														1	8	35	0	1	1									skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment							150	% thorns damage back (level 2)	15	% thorns damage back per level	5	life healed after kill	1	life healed per level					25	thorns synergy	35	iron golem armor synergy	32			80+(lvl*skill('Clay Golem'.par8))+skill('Golem Mastery'.ln56)					8																																					500
Bone Spirit	89	nec	bone spirit		10												bonespirit	bonespirit																																																											necromancer_bone_cast															18					bonespirit												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast			32	20					Corpse Explosion	Bone Spear						100	1						1	8	12	1	1										0	dmg%																					40	damage synergy	32								5															mag	400	200	400	600	800	1000	400	200	400	600	800	1000	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spear'.blvl))*par8/16									500
Teeth	90	nec	teeth		8												teeth																																																												necromancer_bone_cast														19	17					teeth	teeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast			40	20					Bone Prison							50	1						1	7	30	3	1										"min(ln12,40)"	# missiles	par3	activation frame					30	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									35	damage synergy	40								7															mag	30	30	45	60	75	90	30	30	45	60	75	90	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8/16									500
Weaken	91	nec	weaken		30																3		weaken	ln34+((skill('Dim Vision'.blvl)+skill('Decrepify'.blvl)+skill('Lower Resist'.blvl))*par8)	ln12	damagepercent	"-min(par5+((skill('Dim Vision'.blvl)+skill('Decrepify'.blvl)+skill('Lower Resist'.blvl))*par7),100)"																																																		necromancer_curse_cast														18	30					curseweaken		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast			40	20																			1	8	4	0	1																		9	radius	1	radius per level	350	duration	60	additional duration/level	33	% damage target can do			1	weaken synergy	25	duration synergy	40								8																																					500
Raise Skeletal Mage	92	nec	raise skeletal mage	15	31																					armorclass	(lvl+(skill('Skeleton Mastery'.lvl)+skill('Revive'.blvl)+skill('Raise Skeleton'.blvl))*par5																					maxhp	(skill('Skeleton Mastery'.lvl)+skill('Revive'.blvl)+skill('Raise Skeleton'.blvl)) * skill('Skeleton Mastery'.par1) * 256											necromage	skeletonmage	(lvl < 4) ?lvl:(2+lvl/4)	NU	NecromageMissile	skill('Skeleton Mastery'.lvl)+skill('Revive'.blvl)+skill('Raise Skeleton'.blvl) + ((lvl < 4)?0:((lvl-2)/2))											1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1															40	20					Raise Skeleton														1	7	32	4	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment									7	hp%/lvl					10	ac/lvl			5	ac synergy	3	hp synergy	40								8																																					500
Lower Resist	93	nec	lower resist		30																3		lowerresist	ln34+((skill('Dim Vision'.blvl)+skill('Decrepify'.blvl)+skill('Weaken'.blvl))*par8)	ln12	fireresist	-dm56-(skill('Summon Resist'.blvl)*par7)	lightresist	-dm56-(skill('Summon Resist'.blvl)*par7)	coldresist	-dm56-(skill('Summon Resist'.blvl)*par7)																																														necromancer_curse_cast														18	30					curselowerresist		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast			40	20					Decrepify														1	8	22	0	1																		7	radius	1	radius per level	500	duration	50	additional duration/level	25	min % resist lower	70	max % resist lower	1	resist synergy	25	duration synergy	40								8																																					500
Poison Nova	94	nec	poison nova		22												poisonnova																																																												necromancer_poison_cast															25					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast			40	20					Corpse Explosion														1	8	20	1	1																														5	duration synergy	70	damage synergy	40								5															pois	12	6	9	12	18	24	24	6	9	12	18	24	(skill('Poison Dagger'.blvl)+skill('Poison Explosion'.blvl))*par8/16	50								500
FireGolem	95	nec	firegolem		56																					fireresist	100 - dm12	item_absorbfire_percent	dm12	firemindam	edmn	firemaxdam	edmx															velocitypercent	skill('Golem Mastery'.dm34)	normal_damage_reduction	(lvl+skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('IronGolem'.blvl))*skill('Clay Golem'.par7)	damagepercent	((skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('IronGolem'.blvl))*par8)	armorclass	(skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('IronGolem'.blvl))*skill('IronGolem'.par8)	hpregen	(skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('IronGolem'.blvl))*skill('BloodGolem'.par8)			FireGolem	firegolem	1	S1	gholy fire	"min(ln56,30)"												necromancer_golem_cast																																1	6		none												SC	SC	xx					4																					40	20					IronGolem														1	8	50	4	1	1									skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment							25	min % fire absorbtion	100	max % fire absorbtion	100	% damage increase	35	% damage increase per level	8	Holy Fire Aura level	1	Plus Holy Fire Aura level			8	fire golem damage synergy	40			100+(lvl*skill('Clay Golem'.par8))+skill('Golem Mastery'.ln56)					8															fire	10	9	10	11	12	13	27	10	11	12	13	14										500
Sacrifice	96	pal	sacrifice	29	64																																																																								paladin_sacrifice		1													34					blood1				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1											1	40													1						0	8	0	0	1										ln12+skill('Redemption'.blvl)*par8/16+skill('Blessed Aim'.blvl)*par7/16	damage %	par3-(skill('Prayer'.blvl)+skill('Holy Bolt'.blvl))/8*par6	damage self %					180	Percent damage	20	percent damage per level	8	percent damage to self					1	self damage synergy	80	damage synergy	240	damage synergy	1	20	7						8	128																																				500
Smite	97	pal	smite		150																																																																								weapon_2hs_large_1		1																														1	9		h2h	4	shld										S1	S1	xx				1		1	1								1											1	40													1						1	5	16	1											ln34+skill('Defiance'.blvl)*par8/16	damage %	"min(250,ln12+skill('Holy Shield'.blvl)*par7)"	stunlen					15	Stun Length	5	additional frames/level	50	Percent bonus damage	25	percent damage per level					3	stun synergy	240	damage synergy	1				8				8																																					500
Prayer	98	pal	prayer		65																73731	prayer	prayer		ln12	hitpoints	edns+(skill('Holy Bolt'.blvl)+skill('Fist of the Heavens'.blvl)+skill('Redemption'.blvl))*par8																																																																																		1	7		none														xx																										1	20																			1	7	2	1	1	1	1		50														16	radius	2	additional radius per level											5	heal synergy	1								7																10	10	15	20	25	30																500
Resist Fire	99	pal	resist fire		65																73731	resistfire	resistfire		ln12	item_absorbfire_percent	dm34+(skill('Salvation'.blvl)+skill('Vengeance'.blvl))*par8																																																																																	1	1	8		none														xx																										1	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	min % absorb	140	max % absorb			2	absorb synergy	1								8																																					500
Blessed Aim	100	pal	blessed aim		65																73731	blessedaim	blessedaim		ln12	item_crushingblow	par3+lvl*par4/2+skill('Might'.blvl)*par8																																																																																	1	1	6		none														xx																										1	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	10	% chance of crushing blow	5	% additional crushing blow/level							2	crushing blow synergy	1								8																																					500
Sanctuary	101	pal	sanctuary		66																42883	sanctuary			ln12	item_undeaddamage_percent	ln34+(skill('Cleansing'.blvl)+skill('Holy Bolt'.blvl)+skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl))*par8	item_undead_tohit	ln56	skill_bypass_undead	1	item_demondamage_percent	ln34+(skill('Cleansing'.blvl)+skill('Holy Bolt'.blvl)+skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl))*par8	item_demon_tohit	ln56	skill_bypass_demons	1																																																			cast_undead									sanctuarybolt												1	0		none														xx																										1	40																			1	8	1	0	1	1	1		50							16259							8	radius	2	additional radius per level	150	% damage to undead	30	% damage per level	100	att vs. undead	50	att vs. undead per level	10	melee damage synergy	240	magic damage synergy	1				11		157		8															mag	8	4	6	8	10	12	16	4	6	8	10	12	(skill('Resist Fire'.blvl)+skill('Resist Cold'.blvl)+skill('Resist Lightning'.blvl))*par8/16 + skill('Cleansing'.blvl)*par8/16									500
Resist Cold	102	pal	resist cold		65																73731	resistcold	resistcold		ln12	item_absorbcold_percent	dm34+(skill('Salvation'.blvl)+skill('Vengeance'.blvl))*par8																																																																																	1	1	6		none														xx																										2	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	min % absorb	140	max % absorb			2	absorb synergy	2								8																																					500
Resist Lightning	103	pal	resist lightning		65																73731	resistlight	resistlight		ln12	item_absorblight_percent	dm34+(skill('Salvation'.blvl)+skill('Vengeance'.blvl))*par8																																																																																	1	1	6		none														xx																										3	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	min % absorb	140	max % absorb			2	absorb synergy	3								8																																					500
Holy Bolt	104	pal	holy bolt											holybolt																																																															paladin_holybolt_cast											cast_undead								holybolt													1	7		none												SC	SC	xx												1	1		1		1						paladin_holybolt_cast	cast_undead		8	35													1						1	4	32	1	1										ln12 * (100 + (skill('Prayer'.blvl)+skill('Fist of the Heavens'.blvl)) * par7) / 100	min heal	ln34 * (100 + (skill('Prayer'.blvl)+skill('Fist of the Heavens'.blvl)) * par7) / 100	max heal					20	min hitpoints healed	10	hitpoints healed per level	30	max hitpoints healed	10	hitpoints healed per level					15	heal synergy	73	damage synergy	8								8															mag	8	10	12	14	16	20	16	10	12	14	16	20	(skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl)+skill('Sanctuary'.blvl))*par8/16									500
Thorns	105	pal	thorns		65																73731	thorns	thorns		ln12	thorns_percent	ln34+(skill('Vigor'.blvl)+skill('Conviction'.blvl))*par8																																																																																		1	9		none														xx																										8	35					Sanctuary														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	250	% damage bounced back	50	% additional bounce back/level							25	thorns synergy	8								8																																					500
Defiance	106	pal	defiance		65																73731	defiance	defiance		ln12	skill_armor_percent	ln34+(skill('Holy Shield'.blvl)+skill('Resist Fire'.blvl)+skill('Resist Cold'.blvl)+skill('Resist Lightning'.blvl))*par8																																																																																	1	1	4		none														xx																										8	35																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	100	% additional AC	25	% additional AC/level	0	?	0	?			10	ac% synergy	8								8																																					500
Holy Fire	107	pal	holy fire		66																42883	holyfire			ln12																							firemindam	edmn*par5+skill('Resist Fire'.blvl)*par8/16+(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7/16	firemaxdam	edmx*par5+skill('Resist Fire'.blvl)*par8/16+(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7/16																																																										1	0		none														xx																										16	30																			0	8	0	0	1	1	1		25														6	radius	1	additional radius per level					6	damage to attack multiplier			100	damage synergy	200	damage synergy	16				16385				8															fire	2	2	4	8	16	24	6	2	4	8	16	24	skill('Resist Fire'.blvl)*par8/16+(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7/16									500
Zeal	108	pal	zeal	37	13																																																																							1	paladin_zeal														53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1											16	30					Sacrifice								1						1	3	64	-1											"min((par5 + lvl -1), par6)"	max targets	((lvl < 5) ? 0 : ((lvl-4) * par4) )+(skill('Sacrifice'.blvl)+skill('Might'.blvl)+skill('Fanaticism'.blvl))*par8/16	damage %							100	% frame rollback	0	% damage percent	6	damage % per level	2	Targets	5	Max targets			67	damage synergy	16	10	10						8	128																																				500
Charge	109	pal	charge	31	67																																																																																						25	37																	1	2		none		mele										SQ	A1	xx	4		1			1	1								1											16	30					Smite								1						1	6	36	-1											ln34+(skill('Vigor'.blvl)+skill('Might'.blvl)+skill('Blessed Aim'.blvl))*par8/16	damage %						elem conversion%	150	percent increase in velocity	0	?	150	plus % damage	50	plus % dam per level	0	?	0	?			67	damage synergy	16	50	15						8	128																																				500
Cleansing	110	pal	cleansing		65																73731	cleansing	cleansing		ln12	item_poisonlengthresist	100-dm34-skill('Salvation'.blvl)*par8	hitpoints	skill('Prayer'.edns)	curse_resistance	dm34+(skill('Sanctuary'.blvl)/4+skill('Resist Fire'.blvl)/4+skill('Resist Cold'.blvl)/4+skill('Resist Lightning'.blvl)/4+skill('Conversion'.blvl)/4)*par8																																																																														1	3		none														xx																										16	30					Prayer														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	30	min % reduction	100	max % reduction	0	?	0	?			1	reduce length synergy	16								8																																					500
Might	111	pal	might		65																73731	might	might		ln12	damagepercent	ln34+(skill('Blessed Aim'.blvl)+skill('Thorns'.blvl)+skill('Blessed Hammer'.blvl)+skill('Vigor'.blvl))*par8/16																																																																																	1	1	9		none														xx																										24	25					Thorns														1	8	0	0	1	1	1		50														16	radius	2	additional radius per level	100	% additional damage	25	% additional damage/level							45	damage synergy	24								8																																					500
Vengeance	112	pal	vengeance	35	2																																																																											1																													1	3		h2h		mele										A1	A1	xx				1		1	1								1											24	25					Zeal								1						1	5	32	1	1										ln12+skill('Resist Fire'.blvl)*par8/16 +(skill('Salvation'.blvl)+skill('Holy Fire'.blvl))*par7/16	fire damage%	ln12+skill('Resist Cold'.blvl)*par8/16 +(skill('Salvation'.blvl)+skill('Holy Freeze'.blvl))*par7/16	cold damage%	ln12+skill('Resist Lightning'.blvl)*par8/16 +(skill('Salvation'.blvl)+skill('Holy Shock'.blvl))*par7/16	ltng damage%			70	percent damage	6	percent damage per level	0	?	0	?	0	?	0	?	90	damage synergy	180	damage synergy	24	20	10						8	128														cold														30	15	15	15					500
Blessed Hammer	113	pal	blessed hammer		73												blessedhammer																																																												paladin_holybolt_cast															35					blessedhammer												1	2		none												SC	SC	xx																	1						paladin_holybolt_cast			24	25					Holy Bolt								1						1	5	40	1	1																		4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			60	damage synergy	24								8															mag	12	8	10	12	14	16	16	8	10	12	14	16	(skill('Blessed Aim'.blvl)+skill('Sanctuary'.blvl)+skill('Fist of the Heavens'.blvl))*par8/16									500
Concentration	114	pal	concentration		65																73731	concentration	concentration		ln12	damagepercent	ln34+(skill('Might'.blvl)+skill('Charge'.blvl)+skill('Blessed Aim'.blvl))*par8/16	skill_concentration	par5																																																																															1	1	6		none														xx																										24	25					Blessed Aim														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	75	% additional damage	15	% additional damage/level	95	percent chance that attack will not be interrupted	0	?			60	damage synergy	24								8																																					500
Holy Freeze	115	pal	holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	-dm34-(skill('Resist Cold'.blvl)/3+skill('Vengeance'.blvl)/3+skill('Salvation'.blvl)/3)*par6	attackrate	-dm34-(skill('Resist Cold'.blvl)/3+skill('Vengeance'.blvl)/3+skill('Salvation'.blvl)/3)*par6	other_animrate	-dm34-(skill('Resist Cold'.blvl)/3+skill('Vengeance'.blvl)/3+skill('Salvation'.blvl)/3)*par6																	coldmindam	edmn*par5+skill('Resist Cold'.blvl)*par8+(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7	coldmaxdam	edmx*par5+skill('Resist Cold'.blvl)*par8+(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7																																																										1	8		none														xx																										24	25					Holy Fire														0	8	0	0	1	1	1		25														6	radius	1	additional radius per level	25	min% slowing	75	max% slowing	5	damage to attack multiplier	1	slowing synergy	90	damage synergy	180	damage synergy	24				16385				8															cold	2	2	4	6	12	18	6	2	4	6	12	18	skill('Resist Cold'.blvl)*par8/16 +(skill('Cleansing'.blvl)+skill('Salvation'.blvl))*par7/16									500
Vigor	116	pal	vigor		65																73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																	maxhp	ln78																																																											1	1	1		none														xx																										24	25					Cleansing	Defiance													0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	0	min % speed increase	90	max % speed increase	25	hp bonus	5	hp bonus/lvl	24								8																																					500
Conversion	117	pal	conversion	32	79																		conversion	ln12+(skill('Sanctuary'.blvl)+skill('Cleansing'.blvl)+skill('Fist of the Heavens'.blvl))*par7																																																								1																													1	0		h2h		mele										A1	A1	xx				1		1	1								1											32	20					Vengeance								1						1	6	16	-1	1										dm34	chance to convert							400	duration of conversion (frames)	0	additional frames/level	0	min % chance convert	50	max % chance convert	0	?	0	?			25	duration synergy	32								8	128																																				500
Holy Shield	118	pal	holy shield	36	18																	holyshield		ln12		toblock	dm56	skill_armor_percent	ln34+skill('Defiance'.blvl)*par8																																																paladin_holyshield																																1	3		none		shld										SC	SC	xx															1											32	20					Charge	Blessed Hammer													1	7	70	-1	1	1									ln34+skill('Defiance'.blvl)*par8	ac bonus to shield							750	duration of shield	625	duration/level	25	AC bonus	15	AC bonus per level	10	min % ToBlock Add	40	max % ToBlockAdd			15	armor synergy	32								8		3	2	3	4	4	4	6	2	3	4	4	4																								500
Holy Shock	119	pal	holy shock		66																42883	holyshock			ln12																							lightmindam	1	lightmaxdam	edmx*par5+skill('Resist Lightning'.blvl)*par8+(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7																																																										1	4		none														xx																										32	20					Holy Freeze														0	8	0	0	1	1	1		25														6	radius	1	additional radius per level					6	damage to attack multiplier	0	?	80	damage synergy	160	damage synergy	32				16385				8															ltng	1						12	6	9	12	18	24	skill('Resist Lightning'.blvl)*par8/16 +(skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par7/16									500
Meditation	120	pal	meditation		65																73729	meditation	meditation		ln12	manarecoverybonus	ln34+skill('Redemption'.blvl)*par8	hitpoints	skill('Prayer'.edns)																																																																															1	1	7		none														xx																										32	20					Cleansing														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	150	% boost to mana recovery	50	% additional boost/level	0	?	0	?			25	regen synergy	32								8																																					500
