Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Clay Golem Summoning	100			12		12		nec	6	1	44	charged	75	-60	-8											wand	knif	head								0	0	0
of Clay Golem Summoning	100			24		24		nec	6	1	44	charged	75	-20	-5											amul	circ									0	0	0
of Iron Maiden	100			18		18		nec	12	1	44	charged	76	-60	-7											wand	knif	head								0	0	0
of Iron Maiden	100			36		36		nec	12	1	44	charged	76	-20	-4											shld										0	0	0
of Terror	100		1	18		18		nec	12	1	44	charged	77	-60	-7											wand	knif	head								0	0	0
of Terror	100		1	36		36		nec	12	1	44	charged	77	-20	-4											shld										0	0	0
of Bone Walls	100			18		18		nec	12	1	44	charged	78	-60	-7											wand	knif	head								0	0	0
of Bone Walls	100			36		36		nec	12	1	44	charged	78	-20	-4											club	mace	scep								0	0	0
of Raise Skeletal Mages	100			18		18		nec	12	1	44	charged	80	-60	-7											wand	knif	head								0	0	0
of Raise Skeletal Mages	100			36		36		nec	12	1	44	charged	80	-20	-4											amul	circ									0	0	0
of Confusion	100		1	24		24		nec	18	1	44	charged	81	-60	-6											wand	knif	head								0	0	0
of Confusion	100		1	48		48		nec	18	1	44	charged	81	-20	-3											ring	circ									0	0	0
of Life Tap	100		1	24		24		nec	18	1	44	charged	82	-60	-6											wand	knif	head								0	0	0
of Life Tap	100		1	48		48		nec	18	1	44	charged	82	-20	-3											axe										0	0	0
of Poison Explosion	100			24		24		nec	18	1	44	charged	83	-60	-6											wand	knif	head								0	0	0
of Poison Explosion	100			48		48		nec	18	1	44	charged	83	-20	-3											blun										0	0	0
of Bone Spears	100		1	24		24		nec	18	1	44	charged	84	-60	-6											wand	knif	head								0	0	0
of Bone Spears	100		1	48		48		nec	18	1	44	charged	84	-20	-3											spea										0	0	0
of Blood Golem Summoning	100			24		24		nec	18	1	44	charged	85	-60	-6											wand	knif	head								0	0	0
of Blood Golem Summoning	100			48		48		nec	18	1	44	charged	85	-20	-3											axe										0	0	0
of Attraction	100		1	30		30		nec	24	1	44	charged	86	-60	-5											wand	knif	head								0	0	0
of Attraction	100		1	60		60		nec	24	1	44	charged	86	-20	-2											ring	amul	circ								0	0	0
of Decrepification	100			30		30		nec	24	1	44	charged	87	-60	-5											wand	knif	head								0	0	0
of Decrepification	100			60		60		nec	24	1	44	charged	87	-20	-2											shld										0	0	0
of Bone Imprisonment	100			30		30		nec	24	1	44	charged	88	-60	-5											wand	knif	head								0	0	0
of Bone Imprisonment	100			60		60		nec	24	1	44	charged	88	-20	-2											mace	scep									0	0	0
of Iron Golem Creation	100			30		30		nec	24	1	44	charged	90	-60	-5											wand	knif	head								0	0	0
of Iron Golem Creation	100			60		60		nec	24	1	44	charged	90	-20	-2											swor										0	0	0
of Lower Resistance	100		1	36		36		nec	30	1	44	charged	91	-60	-3											wand	knif	head								0	0	0
of Lower Resistance	100		1	72		72		nec	30	1	44	charged	91	-20	-1											staf										0	0	0
of Poison Novas	100		1	36		36		nec	30	1	44	charged	92	-60	-3											wand	knif	head								0	0	0
of Poison Novas	100		1	72		72		nec	30	1	44	charged	92	-20	-1											glov										0	0	0
of Bone Spirits	100		1	36		36		nec	30	1	44	charged	93	-60	-3											wand	knif	head								0	0	0
of Bone Spirits	100		1	72		72		nec	30	1	44	charged	93	-20	-1											amul	circ									0	0	0
of Fire Golem Summoning	100			36		36		nec	30	1	44	charged	94	-60	-3											wand	knif	head								0	0	0
of Fire Golem Summoning	100			72		72		nec	30	1	44	charged	94	-20	-1											hamm										0	0	0
of Revivification	100			36		36		nec	30	1	44	charged	95	-60	-3											wand	knif	head								0	0	0
of Revivification	100			72		72		nec	30	1	44	charged	95	-20	-1											pole										0	0	0
of Sacrifice	100		1	7		7		pal	1	1	44	charged	96	-30	-10											scep	ashd									0	0	0
of Sacrifice	100		1	14		14		pal	1	1	44	charged	96	-20	-6											mele							scep			0	0	0
of Holy Bolts	100		1	12		12		pal	6	1	44	charged	101	-30	-8											scep	ashd									0	0	0
of Holy Bolts	100		1	24		24		pal	6	1	44	charged	101	-20	-5											amul	circ									0	0	0
of Zeal	100		1	18		18		pal	12	1	44	charged	106	-30	-7											scep	ashd									0	0	0
of Zeal	100		1	36		36		pal	12	1	44	charged	106	-20	-4											mele							scep			0	0	0
of Vengeance	100		1	24		24		pal	18	1	44	charged	111	-30	-6											scep	ashd									0	0	0
of Vengeance	100		1	48		48		pal	18	1	44	charged	111	-20	-3											swor	axe									0	0	0
of Blessed Hammers	100		1	24		24		pal	18	1	44	charged	112	-30	-6											scep	ashd									0	0	0
of Blessed Hammers	100		1	48		48		pal	18	1	44	charged	112	-20	-3											hamm										0	0	0
of Conversion	100			30		30		pal	24	1	44	charged	116	-30	-5											scep	ashd									0	0	0
of Conversion	100			60		60		pal	24	1	44	charged	116	-20	-2											blun							scep			0	0	0
of Fist of the Heavens	100			36		36		pal	30	1	44	charged	121	-30	-3											scep	ashd									0	0	0
of Fist of the Heavens	100			72		72		pal	30	1	44	charged	121	-20	-1											glov										0	0	0
of Bashing	100		1	7		7		bar	1	1	44	charged	126	-60	-10											phlm										0	0	0
of Bashing	100		1	14		14		bar	1	1	44	charged	126	-20	-6											mele							staf	wand	orb	0	0	0
of Howling	100			7		7		bar	1	1	44	charged	130	-60	-10											phlm										0	0	0
of Howling	100			14		14		bar	1	1	44	charged	130	-20	-6																					0	0	0
of Potion Finding	100			7		7		bar	1	1	44	charged	131	-60	-10											phlm										0	0	0
of Potion Finding	100			14		14		bar	1	1	44	charged	131	-20	-6																					0	0	0
of Taunting	100			12		12		bar	6	1	44	charged	137	-60	-8											phlm										0	0	0
of Taunting	100			24		24		bar	6	1	44	charged	137	-20	-5																					0	0	0
of Shouting	100			12		12		bar	6	1	44	charged	138	-60	-8											phlm										0	0	0
of Shouting	100			24		24		bar	6	1	44	charged	138	-20	-5																					0	0	0
of Stunning	100		1	18		18		bar	12	1	44	charged	139	-60	-7											phlm							staf	wand	orb	0	0	0
of Stunning	100		1	36		36		bar	12	1	44	charged	139	-20	-4											mele										0	0	0
of Item Finding	100			18		18		bar	12	1	44	charged	142	-60	-7											phlm										0	0	0
of Item Finding	100			36		36		bar	12	1	44	charged	142	-20	-4																					0	0	0
of Concentration	100		1	24		24		bar	18	1	44	charged	144	-60	-6											phlm										0	0	0
of Concentration	100		1	48		48		bar	18	1	44	charged	144	-20	-3											mele							staf	wand	orb	0	0	0
of Battle Cry	100			24		24		bar	18	1	44	charged	146	-60	-6											phlm										0	0	0
of Battle Cry	100			48		48		bar	18	1	44	charged	146	-20	-3																					0	0	0
of Battle Orders	100			30		30		bar	24	1	44	charged	149	-60	-5											phlm										0	0	0
of Battle Orders	100			60		60		bar	24	1	44	charged	149	-20	-2																					0	0	0
of Grim Ward	100		1	30		30		bar	24	1	44	charged	150	-60	-5											phlm										0	0	0
of Grim Ward	100		1	60		60		bar	24	1	44	charged	150	-20	-2											amul										0	0	0
of War Cry	100			36		36		bar	30	1	44	charged	154	-60	-3											phlm										0	0	0
of War Cry	100			72		72		bar	30	1	44	charged	154	-20	-1																					0	0	0
of Battle Command	100			36		36		bar	30	1	44	charged	155	-60	-3											phlm										0	0	0
of Battle Command	100			72		72		bar	30	1	44	charged	155	-20	-1																					0	0	0
of Firestorms	100		1	7		7		dru	1	1	44	charged	225	-30	-10											club										0	0	0
of Firestorms	100		1	14		14		dru	1	1	44	charged	225	-20	-6											staf										0	0	0
of Molten Boulders	100			12		12		dru	6	1	44	charged	229	-30	-8											club										0	0	0
of Molten Boulders	100			24		24		dru	6	1	44	charged	229	-20	-5											mace										0	0	0
of Eruption	100		1	18		18		dru	12	1	44	charged	234	-30	-7											club										0	0	0
of Eruption	100		1	36		36		dru	12	1	44	charged	234	-20	-4											staf										0	0	0
of Cyclone Armor	100			18		18		dru	12	1	44	charged	235	-30	-7											club										0	0	0
of Cyclone Armor	100			36		36		dru	12	1	44	charged	235	-20	-4											tors										0	0	0
of Twister	100		1	24		24		dru	18	1	44	charged	240	-30	-6											club										0	0	0
of Twister	100		1	48		48		dru	18	1	44	charged	240	-20	-3											amul	circ									0	0	0
of Volcano	100		1	30		30		dru	24	1	44	charged	244	-30	-6											club										0	0	0
of Volcano	100		1	60		60		dru	24	1	44	charged	244	-20	-3											hamm										0	0	0
of Tornado	100		1	30		30		dru	24	1	44	charged	245	-30	-5											club										0	0	0
of Tornado	100		1	60		60		dru	24	1	44	charged	245	-20	-2											amul	circ									0	0	0
of Armageddon	100			36		36		dru	30	1	44	charged	249	-30	-3											club										0	0	0
of Armageddon	100			72		72		dru	30	1	44	charged	249	-20	-1											staf										0	0	0
of Hurricane	100			36		36		dru	30	1	44	charged	250	-30	-3											club										0	0	0
of Hurricane	100			72		72		dru	30	1	44	charged	250	-20	-1											amul	circ									0	0	0
of Damage Amplification	100		1	3						1	44	hit-skill	66	5	1											weap							orb			0	0	0
of the Icicle	100		1	37		29				2	10	cold-min		2	3	cold-max		6	10	cold-len		50	50	1	dblu	jewl										0	0	0
of the Glacier	100			58		50				2	10	cold-min		4	5	cold-max		11	15	cold-len		50	50	1	dblu	jewl										0	0	0
of Fire	100		1	36		28				2	12	fire-min		4	10	fire-max		11	30					1	dred	jewl										0	0	0
of Burning	100		1	57		49				2	12	fire-min		11	25	fire-max		31	50					1	dred	jewl										0	0	0
of Lightning	100		1	36		28				2	13	ltng-min		1	1	ltng-max		21	60					1	dyel	jewl										0	0	0
of Thunder	100		1	57		49				2	13	ltng-min		1	1	ltng-max		61	100					1	dyel	jewl										0	0	0
of Daring	100		1	19		14				3	17	dex		4	6											jewl										0	0	0
of Daring	100		1	36		28				3	17	dex		7	9											jewl										0	0	0
of Knowledge	100		1	24		18				3	23	enr		4	6											jewl										0	0	0
of Knowledge	100		1	41		33				3	23	enr		7	9											jewl										0	0	0
of Virility	100		1	33		25				4	31	str		5	6											jewl										0	0	0
of Virility	100		1	50		42				4	31	str		7	9											jewl										0	0	0
of Readiness	1		1	20		15				2	7	swing1		10	10											glov										0	0	0
of Craftsmanship	100		1	1		1				4	14	dmg-max		1	1											lcha										0	0	0
of Quality	100		1	41		33				4	14	dmg-max		2	2											lcha										0	0	0
of Maiming	100			71		63				4	14	dmg-max		3	4											lcha										0	0	0
of Craftsmanship	100		1	26		19				4	14	dmg-max		1	1											mcha										0	0	0
of Quality	100			56		48				4	14	dmg-max		2	2											mcha										0	0	0
of Craftsmanship	100		1	85		77				4	14	dmg-max		1	1											scha										0	0	0
of Blight	100		1	1		1				2	16	dmg-pois	75	21	21											lcha										0	0	0
of Venom	100		1	6		4				1	16	dmg-pois	100	39	39											lcha										0	0	0
of Pestilence	100		1	14		10				1	16	dmg-pois	125	52	52									1	dgrn	lcha										0	0	0
of Anthrax	100			21		15				1	16	dmg-pois	150	86	86									1	dgrn	lcha										0	0	0
of Blight	100		1	5		3				2	16	dmg-pois	75	21	21											mcha										0	0	0
of Venom	100		1	13		9				1	16	dmg-pois	100	39	39											mcha										0	0	0
of Pestilence	100		1	23		17				1	16	dmg-pois	125	52	52									1	dgrn	mcha										0	0	0
of Anthrax	100			33		25				1	16	dmg-pois	150	86	86									1	dgrn	mcha										0	0	0
of Blight	100		1	9		6				2	16	dmg-pois	75	21	21											scha										0	0	0
of Venom	100		1	20		15				1	16	dmg-pois	100	39	39											scha										0	0	0
of Pestilence	100		1	32		24				1	16	dmg-pois	125	52	52									1	dgrn	scha										0	0	0
of Anthrax	100			44		36				1	16	dmg-pois	150	86	86									1	dgrn	scha										0	0	0
of Frost	100		1	5		3				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			lcha										0	0	0
of the Icicle	100		1	8		6				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25			lcha										0	0	0
of the Glacier	100		1	15		11				1	10	cold-min		3	3	cold-max		5	7	cold-len		25	25	1	dblu	lcha										0	0	0
of Winter	100			23		17				1	10	cold-min		4	6	cold-max		8	11	cold-len		25	25	1	dblu	lcha										0	0	0
of Frost	100		1	9		6				2	10	cold-min		1	1	cold-max		2	3	cold-len		25	25			mcha										0	0	0
of the Icicle	100		1	15		11				1	10	cold-min		2	2	cold-max		4	5	cold-len		25	25			mcha										0	0	0
of the Glacier	100		1	25		18				1	10	cold-min		3	3	cold-max		6	8	cold-len		25	25	1	dblu	mcha										0	0	0
of Winter	100			35		27				1	10	cold-min		4	6	cold-max		9	12	cold-len		25	25	1	dblu	mcha										0	0	0
of Frost	100		1	14		10				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			scha										0	0	0
of the Icicle	100		1	21		15				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25			scha										0	0	0
of the Glacier	100		1	33		25				1	10	cold-min		3	3	cold-max		5	6	cold-len		25	25	1	dblu	scha										0	0	0
of Winter	100			46		38				1	10	cold-min		4	5	cold-max		7	9	cold-len		25	25	1	dblu	scha										0	0	0
of Flame	100		1	3		2				2	12	fire-min		1	1	fire-max		2	2							lcha										0	0	0
of Fire	100		1	8		6				1	12	fire-min		1	2	fire-max		3	3							lcha										0	0	0
of Burning	100		1	14		10				1	12	fire-min		2	3	fire-max		4	7					1	dred	lcha										0	0	0
of Incineration	100			22		16				1	12	fire-min		4	7	fire-max		8	14					1	dred	lcha										0	0	0
of Flame	100		1	7		5				2	12	fire-min		1	1	fire-max		2	2							mcha										0	0	0
of Fire	100		1	14		10				1	12	fire-min		2	2	fire-max		3	5							mcha										0	0	0
of Burning	100		1	24		18				1	12	fire-min		3	5	fire-max		6	11					1	dred	mcha										0	0	0
of Incineration	100			34		26				1	12	fire-min		6	10	fire-max		12	17					1	dred	mcha										0	0	0
of Flame	100		1	11		8				2	12	fire-min		1	1	fire-max		2	2							scha										0	0	0
of Fire	100		1	20		15				1	12	fire-min		2	2	fire-max		3	4							scha										0	0	0
of Burning	100		1	32		24				1	12	fire-min		3	4	fire-max		5	8					1	dred	scha										0	0	0
of Incineration	100			45		37				1	12	fire-min		5	7	fire-max		9	13					1	dred	scha										0	0	0
of Shock	100		1	4		3				2	13	ltng-min		1	1	ltng-max		2	3							lcha										0	0	0
of Lightning	100		1	7		5				1	13	ltng-min		1	1	ltng-max		4	7							lcha										0	0	0
of Thunder	100		1	15		11				1	13	ltng-min		1	1	ltng-max		8	21					1	dyel	lcha										0	0	0
of Storms	100			22		16				1	13	ltng-min		1	1	ltng-max		22	33					1	dyel	lcha										0	0	0
of Shock	100		1	7		5				2	13	ltng-min		1	1	ltng-max		3	5							mcha										0	0	0
of Lightning	100		1	14		10				1	13	ltng-min		1	1	ltng-max		6	13							mcha										0	0	0
of Thunder	100		1	24		18				1	13	ltng-min		1	1	ltng-max		14	25					1	dyel	mcha										0	0	0
of Storms	100			34		26				1	13	ltng-min		1	1	ltng-max		26	38					1	dyel	mcha										0	0	0
of Shock	100		1	12		9				2	13	ltng-min		1	1	ltng-max		3	6							scha										0	0	0
of Lightning	100		1	21		15				1	13	ltng-min		1	1	ltng-max		7	10							scha										0	0	0
of Thunder	100		1	33		25				1	13	ltng-min		1	1	ltng-max		11	18					1	dyel	scha										0	0	0
of Storms	100			45		37				1	13	ltng-min		1	1	ltng-max		19	28					1	dyel	scha										0	0	0
of Dexterity	1		1	1	12	1				4	17	dex		1	1											boot	glov									0	0	0
of Dexterity	1		1	1	5	1				4	17	dex		1	1											ring										0	0	0
of Strength	1		1	1	11	1				4	31	str		1	1											glov										0	0	0
of Strength	1		1	1	4	1				4	31	str		1	1											ring										0	0	0
of Thorns	1		1	1	13	1				4	6	thorns		1	1											tors	belt	shld								0	0	0
of Frost	1		1	1	3	1				4	10	dmg-cold	25	1	1											weap							staf	wand	orb	0	0	0
of Flame	1		1	1	3	1				4	12	dmg-fire		1	2											weap							staf	wand	orb	0	0	0
of Blight	1		1	1	4	1				4	16	dmg-pois	50	8	8											weap							scep	staf	orb	0	0	0
of Shock	1		1	1	3	1				4	13	dmg-ltng		1	3											weap							staf	wand	orb	0	0	0
of Regeneration	1		1	1	9	1				3	19	regen		2	2											amul	circ									0	0	0
of Energy	1		1	1	4	1				4	23	enr		1	1											amul	orb	circ	wand	staf	helm	ring				0	0	0
of Light	1		1	1	5	1				4	25	light		1	1	att		10	10							ring	amul									0	0	0
of the Leech	100		1	24		20				2	27	lifesteal		2	3											amul										0	0	0
of the Locust	100		1	57		45				2	27	lifesteal		4	5											amul										0	0	0
of the Lamprey	100		1	85		73				2	27	lifesteal		6	6									1	cred	amul										0	0	0
of the Bat	1		1	25		21				2	28	manasteal		2	3											ring										0	0	0
of the Wraith	1		1	58		46				2	28	manasteal		4	5											ring										0	0	0
of the Vampire	100		1	86		74				2	28	manasteal		6	6									1	cred	ring										0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
																																				0	0	0
Charms																																				0	0	0
of Puncturing	100	1	1	6		4				10	5	dmg-ac		-3	-4									1	lgry	lcha										0	0	0
of Bashing	100	1	1	16		12				10	5	dmg-ac		-5	-6									1	dgry	lcha										0	0	0
of Puncturing	100	1	1	6		4				10	5	dmg-ac		-2	-3									1	lgry	mcha										0	0	0
of Bashing	100	1	1	16		12				10	5	dmg-ac		-4	-5									1	dgry	mcha										0	0	0
of Puncturing	100	1	1	6		4				10	5	dmg-ac		-1	-2									1	lgry	scha										0	0	0
of Bashing	100	1	1	16		12				10	5	dmg-ac		-3	-4									1	dgry	scha										0	0	0
of Thorns	100	1	1	14		10				10	6	thorns		3	4									1	oran	lcha										0	0	0
of Spikes	100	1	1	21		15				10	6	thorns		5	8									1	oran	lcha										0	0	0
of Razors	100	1	1	34		26				10	6	thorns		9	12									1	oran	lcha										0	0	0
of Swords	100	1	1	47		39				10	6	thorns		13	16									1	oran	lcha										0	0	0
of Malice	100	1	1	57		49				10	6	thorns		17	20									1	oran	lcha										0	0	0
of Thorns	100	1	1	14		10				10	6	thorns		2	3									1	oran	mcha										0	0	0
of Spikes	100	1	1	21		15				10	6	thorns		3	5									1	oran	mcha										0	0	0
of Razors	100	1	1	34		26				10	6	thorns		6	8									1	oran	mcha										0	0	0
of Swords	100	1	1	47		39				10	6	thorns		9	10									1	oran	mcha										0	0	0
of Malice	100	1	1	57		49				10	6	thorns		11	13									1	oran	mcha										0	0	0
of Thorns	100	1	1	14		10				10	6	thorns		1	1									1	oran	scha										0	0	0
of Spikes	100	1	1	21		15				10	6	thorns		2	3									1	oran	scha										0	0	0
of Razors	100	1	1	34		26				10	6	thorns		3	4									1	oran	scha										0	0	0
of Swords	100	1	1	47		39				10	6	thorns		4	5									1	oran	scha										0	0	0
of Malice	100	1	1	57		49				10	6	thorns		6	7									1	oran	scha										0	0	0
of Frost	100	1	1	9		6				8	10	cold-len		25	25	cold-min		1	1	cold-max		2	3	1	dblu	lcha										0	0	0
of the Icicle	100	1	1	15		11				7	10	cold-len		25	25	cold-min		2	4	cold-max		4	8	1	dblu	lcha										0	0	0
of the Glacier	100	1	1	30		22				7	10	cold-len		25	25	cold-min		5	7	cold-max		9	15	1	lblu	lcha										0	0	0
of Winter	100	1	1	45		38				7	10	cold-len		25	25	cold-min		8	13	cold-max		16	25	1	lblu	lcha										0	0	0
of Frost	100	1	1	18		13				8	10	cold-len		25	25	cold-min		2	3	cold-max		3	5	1	dblu	mcha										0	0	0
of the Icicle	100	1	1	29		21				7	10	cold-len		25	25	cold-min		4	5	cold-max		6	10	1	dblu	mcha										0	0	0
of the Glacier	100	1	1	49		41				7	10	cold-len		25	25	cold-min		6	10	cold-max		11	20	1	lblu	mcha										0	0	0
of Winter	100	1	1	69		61				7	10	cold-len		25	25	cold-min		11	15	cold-max		21	30	1	lblu	mcha										0	0	0
of Frost	100	1	1	27		20				8	10	cold-len		25	25	cold-min		1	2	cold-max		2	4	1	dblu	scha										0	0	0
of the Icicle	100	1	1	42		34				7	10	cold-len		25	25	cold-min		3	4	cold-max		5	8	1	dblu	scha										0	0	0
of the Glacier	100	1	1	66		58				7	10	cold-len		25	25	cold-min		5	7	cold-max		9	14	1	lblu	scha										0	0	0
of Winter	100	1	1	91		83				7	10	cold-len		25	25	cold-min		8	10	cold-max		15	20	1	lblu	scha										0	0	0
of Flame	100	1	1	5		3				8	11	fire-min		1	1	fire-max		2	3					1	dred	lcha										0	0	0
of Fire	100	1	1	15		11				7	11	fire-min		2	3	fire-max		4	7					1	dred	lcha										0	0	0
of Burning	100	1	1	28		21				7	11	fire-min		4	7	fire-max		8	19					1	lred	lcha										0	0	0
of Incineration	100	1	1	43		35				7	11	fire-min		8	18	fire-max		20	36					1	lred	lcha										0	0	0
of Flame	100	1	1	13		9				8	11	fire-min		1	1	fire-max		2	3					1	dred	mcha										0	0	0
of Fire	100	1	1	27		20				7	11	fire-min		2	3	fire-max		4	12					1	dred	mcha										0	0	0
of Burning	100	1	1	47		39				7	11	fire-min		4	9	fire-max		13	27					1	lred	mcha										0	0	0
of Incineration	100	1	1	67		59				7	11	fire-min		10	27	fire-max		28	43					1	lred	mcha										0	0	0
of Flame	100	1	1	21		15				8	11	fire-min		1	1	fire-max		2	3					1	dred	scha										0	0	0
of Fire	100	1	1	40		32				7	11	fire-min		2	3	fire-max		4	10					1	dred	scha										0	0	0
of Burning	100	1	1	64		56				7	11	fire-min		4	9	fire-max		11	19					1	lred	scha										0	0	0
of Incineration	100	1	1	89		81				7	11	fire-min		10	19	fire-max		20	29					1	lred	scha										0	0	0
of Shock	100	1	1	7		5				8	12	ltng-min		1	1	ltng-max		4	5					1	lyel	lcha										0	0	0
of Lightning	100	1	1	14		10				7	12	ltng-min		1	1	ltng-max		6	17					1	lyel	lcha										0	0	0
of Thunder	100	1	1	29		21				7	12	ltng-min		1	1	ltng-max		18	44					1	whit	lcha										0	0	0
of Storms	100	1	1	44		36				7	12	ltng-min		1	1	ltng-max		45	79					1	whit	lcha										0	0	0
of Shock	100	1	1	14		10				8	12	ltng-min		1	1	ltng-max		5	9					1	lyel	mcha										0	0	0
of Lightning	100	1	1	28		20				7	12	ltng-min		1	1	ltng-max		10	26					1	lyel	mcha										0	0	0
of Thunder	100	1	1	48		40				7	12	ltng-min		1	1	ltng-max		27	58					1	whit	mcha										0	0	0
of Storms	100	1	1	68		60				7	12	ltng-min		1	1	ltng-max		59	90					1	whit	mcha										0	0	0
of Shock	100	1	1	23		17				8	12	ltng-min		1	1	ltng-max		6	11					1	lyel	scha										0	0	0
of Lightning	100	1	1	41		33				7	12	ltng-min		1	1	ltng-max		12	24					1	lyel	scha										0	0	0
of Thunder	100	1	1	65		57				7	12	ltng-min		1	1	ltng-max		25	43					1	whit	scha										0	0	0
of Storms	100	1	1	90		92				7	12	ltng-min		1	1	ltng-max		44	71					1	whit	scha										0	0	0
of Blight	100	1	1	1		1				8	13	dmg-pois	75	18	18									1	dgrn	lcha										0	0	0
of Venom	100	1	1	12		9				7	13	dmg-pois	100	39	39									1	dgrn	lcha										0	0	0
of Pestilence	100	1	1	27		20				7	13	dmg-pois	125	103	103									1	lgrn	lcha										0	0	0
of Anthrax	100	1	1	42		34				7	13	dmg-pois	150	171	171									1	lgrn	lcha										0	0	0
of Blight	100	1	1	9		6				8	13	dmg-pois	75	35	35									1	dgrn	mcha										0	0	0
of Venom	100	1	1	26		19				7	13	dmg-pois	100	77	77									1	dgrn	mcha										0	0	0
of Pestilence	100	1	1	46		38				7	13	dmg-pois	125	185	185									1	lgrn	mcha										0	0	0
of Anthrax	100	1	1	66		58				7	13	dmg-pois	150	299	299									1	lgrn	mcha										0	0	0
of Blight	100	1	1	18		13				8	13	dmg-pois	75	52	52									1	dgrn	scha										0	0	0
of Venom	100	1	1	39		31				7	13	dmg-pois	100	128	128									1	dgrn	scha										0	0	0
of Pestilence	100	1	1	63		55				7	13	dmg-pois	125	205	205									1	lgrn	scha										0	0	0
of Anthrax	100	1	1	88		80				7	13	dmg-pois	150	299	299									1	lgrn	scha										0	0	0
of Craftsmanship	100	1	1	3		2				10	15	dmg-max		2	3									1	blac	lcha										0	0	0
of Craftsmanship	100	1	1	10		7				10	15	dmg-max		4	5									1	blac	lcha										0	0	0
of Craftsmanship	100	1	1	17		12				10	15	dmg-max		6	7									1	blac	lcha										0	0	0
of Quality	100	1	1	25		18				10	15	dmg-max		8	9									1	blac	lcha										0	0	0
of Quality	100	1	1	32		24				10	15	dmg-max		10	11									1	blac	lcha										0	0	0
of Maiming	100	1	1	39		31				10	15	dmg-max		12	13									1	blac	lcha										0	0	0
of Maiming	100	1		47		39				10	15	dmg-max		14	15									1	blac	lcha										0	0	0
of Craftsmanship	100	1	1	10		7				10	15	dmg-max		1	2									1	blac	mcha										0	0	0
of Craftsmanship	100	1	1	20		15				10	15	dmg-max		2	3									1	blac	mcha										0	0	0
of Quality	100	1	1	30		22				10	15	dmg-max		4	5									1	blac	mcha										0	0	0
of Quality	100	1	1	40		32				10	15	dmg-max		6	7									1	blac	mcha										0	0	0
of Maiming	100	1		50		42				10	15	dmg-max		8	9									1	blac	mcha										0	0	0
of Craftsmanship	100	1	1	23		17				10	15	dmg-max		1	1									1	blac	scha										0	0	0
of Quality	100	1	1	38		30				10	15	dmg-max		2	2									1	blac	scha										0	0	0
of Maiming	100	1		53		45				10	15	dmg-max		3	3									1	blac	scha										0	0	0
of Balance	100	1	1	1		1				10	18	balance3		12	12									1	dgld	lcha										0	0	0
of Balance	100	1	1	19		14				10	18	balance2		8	8									1	dyel	mcha										0	0	0
of Balance	100	1	1	37		29				10	18	balance1		5	5									1	dyel	scha										0	0	0
of Inertia	100	1	1	19		14				10	19	move3		7	7									1	cblu	lcha										0	0	0
of Inertia	100	1	1	24		18				10	19	move2		5	5									1	dblu	mcha										0	0	0
of Inertia	100	1	1	35		27				10	19	move1		3	3									1	dblu	scha										0	0	0
of Greed	100	1	1	1		1				10	22	gold%		6	12									1	dgld	lcha										0	0	0
of Greed	100	1	1	7		5				10	22	gold%		13	18									1	dgld	lcha										0	0	0
of Greed	100	1	1	19		14				10	22	gold%		19	24									1	lgld	lcha										0	0	0
of Greed	100	1	1	19		14				10	22	gold%		25	30									1	lgld	lcha										0	0	0
of Greed	100	1	1	1		5				10	22	gold%		5	10									1	dgld	mcha										0	0	0
of Greed	100	1	1	20		15				10	22	gold%		11	22									1	lgld	mcha										0	0	0
of Greed	100	1	1	1		15				10	22	gold%		5	10									1	dgld	scha										0	0	0
of Fortune	100	1	1	31		18				9	23	mag%		6	8									1	lgld	lcha										0	0	0
of Good Luck	100	1	1	47		33				8	23	mag%		9	12									1	lgld	lcha										0	0	0
of Fortune	100	1	1	31		18				9	23	mag%		4	5									1	lgld	mcha										0	0	0
of Good Luck	100	1	1	47		33				8	23	mag%		6	8									1	lgld	mcha										0	0	0
of Fortune	100	1	1	31		18				9	23	mag%		2	2									1	lgld	scha										0	0	0
of Good Luck	100	1	1	47		33				8	23	mag%		3	4									1	lgld	scha										0	0	0
of Life	100	1	1	1		1				10	27	hp		5	10									1	dred	lcha										0	0	0
of Life	100	1	1	9		6				10	27	hp		11	15									1	dred	lcha										0	0	0
of Life	100	1	1	18		13				10	27	hp		16	20									1	dred	lcha										0	0	0
